year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,2374.35805,12534.46265,8527.15975,1344.53631,7452.94975,9259.07163,872.85321,1291.84641,358.82249,1902.53245,576.58114,575.05689,1061.1581,11858.26614,841.19532,1031.3188,1078.1067,4537.82473,1031.00816,3514.01216,3219.04904,878.2047,836.95227,4174.2863,1526.24936,3053.45604,1183.82576,10875.00779,2056.13949,2113.40113,503.55538,621.75213,404.96432,432.37363,2235.63644,8137.86713,9084.00518,2551.98004,1464.04917,8898.70128,2544.22799,3946.15048,2122.32504,1789.22172,1081.62583,1862.18554,9666.32691,956.39626,792.77746,2048.59481,5668.55937,7078.85119,6332.49057,4091.59683,4783.18083,2465.03264,1325.24787,544.57892,17104.9722,1068.7572,568.80797,2388.23258,420.69136,3603.35675,942.9348,3088.13451,5100.98233,1214.22335,391.21951,3744.85693,675.28789,9492.41594,12007.53784,1187.90558,1480.40494,10126.57363,942.26919,2419.14884,1414.77478,2392.39407,1719.19745,3713.70242,1099.74644,1207.29389,850.66915,1893.93382,2507.68247,4924.05532,5121.62619,2292.63616,11086.47012,17880.66844,1635.61014,2197.17626,1008.32626,836.26248,6374.55343,1338.01648,4034.8823,895.86465,10028.58681,808.76931,15140.91585,6377.31094,6894.31626,2875.21204,1748.01303
1961,2442.92853,12558.37869,8993.13422,1321.01632,7751.97503,9615.28509,877.09696,1335.75053,381.14701,2088.12578,563.67145,482.88346,1092.23091,12021.93118,970.37077,1103.06726,1115.21085,4326.8172,665.06628,3608.8419,3303.48176,950.93956,875.62953,3987.04811,1498.75477,3381.26652,1014.56528,11476.00601,1946.95335,2147.29548,519.55363,621.50812,412.14749,444.18577,2221.00656,8854.18351,9415.57338,2702.75034,1328.1292,9164.25559,2403.12498,4454.83462,2136.82635,1813.49207,1064.19162,1907.78812,10063.63253,972.57222,794.50379,2045.26644,5987.13533,7790.33439,6836.45944,4234.86931,5271.30099,2758.76777,1296.77427,544.84975,16775.0381,1095.9798,570.86129,2316.55486,412.6171,3699.72517,879.48924,3540.63398,5078.90865,1485.58955,391.13092,3639.31008,674.41007,9678.38945,12357.3451,1248.08139,1415.13256,10674.23515,960.09202,2630.53475,1462.8386,2471.24901,1726.6484,3926.12577,1124.4719,1325.9135,814.81509,1918.02128,2583.78903,4977.65526,5657.75349,2240.57974,11655.35319,18699.87477,1724.26226,2291.79975,1046.16544,900.72536,7318.6265,1436.05106,3986.79466,860.05237,10236.8841,817.70475,15262.48089,6405.48865,6799.56243,2727.09732,1794.2631
1962,2293.42091,12998.71801,9200.24846,1377.41183,8080.90294,10056.0514,829.98223,1345.47941,404.71385,2158.40684,606.04706,513.73335,1067.81,12527.03595,793.48384,1092.36876,1216.47762,5240.97604,689.09863,3965.34517,3353.89061,1067.07635,980.65325,4115.03313,1523.06417,3982.32073,1145.31347,12023.3372,2352.84619,2189.11024,538.07032,665.3974,419.25078,451.2149,2175.80629,8910.23085,9825.11158,3005.44179,1308.26509,9430.14534,2333.86385,4380.3547,2156.0137,1813.07439,1051.24381,1954.99514,10191.41064,992.12439,853.28776,2069.97758,6135.94502,7822.48741,7183.73097,4158.95202,5718.00979,2753.38133,1341.54656,612.74692,16093.92857,1128.8868,568.15727,2354.32247,402.96466,3624.45773,947.21793,3733.23733,5113.89851,1650.46024,415.79622,4027.1812,682.41406,10056.22494,12490.47864,1355.22483,1412.67658,10860.5161,990.71897,2789.85129,1460.62147,2619.08246,1784.71145,4225.95389,1104.70232,1444.63104,897.44193,1868.04705,2739.15179,5033.84369,6157.05104,2335.18214,11992.95873,19059.01229,2073.75343,2433.33896,1060.58442,885.89764,7002.87401,1432.59096,4113.18607,880.03861,10295.56741,879.45183,15966.36299,6456.85453,6838.95386,2608.08675,1726.02894
1963,2243.03616,13832.15347,9538.33838,1427.2781,8480.47368,10309.1908,846.89217,1397.78684,418.82307,2230.05748,581.61676,528.10697,1110.80637,12884.50651,632.97109,1006.0739,1145.36173,5440.69158,772.12981,4491.56078,3342.03202,1157.2122,1007.55668,4201.82163,1714.77862,3994.59772,1190.14227,12146.24893,2442.80459,2165.67948,570.84391,664.41725,553.99912,455.48335,2520.23726,9035.19954,10286.88774,3567.96224,1308.12547,9542.5843,2430.07885,4919.27062,2242.5716,1992.64888,1128.95484,1942.45266,11225.14232,1037.38862,809.0611,2075.47539,6352.4719,8341.66419,7500.80408,4544.27506,6128.20267,2743.88484,1331.03391,660.65189,16258.38986,1109.19426,562.99326,2380.43798,417.56793,3633.10662,955.14097,4473.52058,5410.90821,1876.322,418.81306,4220.98371,678.14866,10355.2314,13263.29029,1463.34003,1477.27755,11117.94949,1024.36567,2940.76509,1491.09993,2692.72478,1840.95838,4461.01699,1216.71691,1552.88217,782.2453,1856.19096,3019.32587,5247.19942,6678.74816,2205.45033,12500.78259,19570.18216,1621.68943,2668.9473,1094.13346,923.0509,7795.57315,1539.26974,4389.74825,926.36159,10592.26758,930.85585,16406.56485,6182.0836,7070.81703,2688.18032,1708.91012
1964,2359.96841,14118.12087,9925.30068,1388.65044,8159.19884,10952.67963,863.03304,1474.19237,441.53648,2276.03838,605.55371,532.34605,1129.32324,13498.22954,661.08333,1026.0808,1108.01987,5441.45738,869.76188,4771.58853,3530.03534,1234.6973,1049.37529,4304.47581,1964.29091,3435.95112,1108.41812,13099.78214,2482.64461,2256.99887,628.88097,698.28087,526.03457,477.63327,2802.92507,9431.82806,10852.07476,3880.56329,1425.5309,10158.39174,2477.48139,5276.6333,2275.16249,1775.51401,1197.768,2005.84502,12712.15702,1087.55094,795.90331,2064.31774,6596.35057,8846.22309,7633.60556,4543.47579,6760.46667,3074.37876,1393.51878,694.13005,17396.73275,1106.26782,545.91363,2450.46655,342.95153,3738.60938,1415.58052,4596.22961,5930.51613,1951.65998,425.42761,4735.65946,725.94418,10979.57966,13666.0668,1392.35619,1519.2175,11768.66337,1065.51666,3001.07602,1519.705,2858.30805,1805.32764,4554.00009,1278.51203,1634.1797,678.09618,1856.00149,2848.882,5471.10673,6944.90538,2235.54875,13225.7188,20396.32456,2234.9596,2930.8158,1155.13718,992.94245,7904.18277,1520.38178,4466.9528,1013.20679,11123.29282,1037.90778,17108.68366,6361.93244,7472.00737,3062.45208,1610.33559
1965,2659.09513,14053.57203,10196.18593,1345.75777,8177.72337,11299.82125,907.09889,1595.21371,412.30553,2366.86473,600.70084,538.59456,1161.05414,14137.82131,671.50918,1009.23827,1146.4615,5349.88888,945.73336,5416.93734,3418.34467,1182.86459,1052.56483,4491.72048,1690.11051,4347.7833,1118.28889,13611.62108,2098.113,2252.89672,640.24955,725.9127,478.72437,501.2682,2164.23774,10020.91083,11251.49916,4323.28275,1527.57941,10557.10426,2300.9366,5808.61541,2300.87754,1800.12719,1186.49905,2085.17526,13888.10311,1045.08308,773.06709,2230.76349,6648.55785,8719.26757,7781.16608,4506.91254,7111.39591,3289.64498,1397.34275,691.28632,17516.717,1065.3104,618.60907,2612.67043,361.13206,3947.90052,1655.95303,3958.51138,6052.80861,1884.77252,423.61462,4907.90398,702.45794,11639.9202,14156.88128,1410.67286,1514.66469,12358.12335,1132.70899,3198.72277,1581.15611,2906.52567,1837.13422,4838.4954,1308.17936,1788.45962,698.66575,1793.27844,3044.16424,5584.53648,7254.93719,2259.52475,13607.46657,20773.09483,2180.841,3065.90221,1241.41888,1076.23529,7102.56529,1542.71484,4466.82332,947.69015,11352.55391,1004.41512,18034.55629,6225.81739,7395.6385,3103.06993,1718.40074
1966,2600.58951,14702.95278,10651.17951,1340.01099,8549.9637,11597.8117,906.96443,1650.0727,432.86724,2397.9,600.42858,530.19868,1186.97198,14796.1326,823.4049,982.26279,1147.18977,5812.04794,1020.08681,5604.82364,3482.86115,1292.96852,1036.05465,4648.5848,1817.59089,4600.91599,1239.45452,13949.17781,2226.4928,2270.34882,650.25294,746.26297,550.20039,507.69157,2207.75703,10256.90425,11757.59547,3865.8777,1514.6918,10794.81932,2220.96133,6240.17261,2369.11026,1750.42962,1089.17266,2063.49048,14676.41094,1018.0923,718.28345,2353.81703,6817.89539,9374.37876,8175.95485,4629.19301,7778.18428,3228.43806,1497.30737,687.25145,17486.65527,1086.08418,683.65441,2678.12281,361.76923,4387.78026,1631.81685,4082.15168,6244.86705,1787.84701,426.96991,5055.0114,738.49198,11934.60734,14762.99789,1359.69838,1369.99585,12762.35232,1241.3847,3338.61414,1572.73596,3074.29514,1873.29453,4965.21625,1444.49121,1880.14825,728.63943,1810.46868,3356.06802,5698.47945,7772.98346,2270.09457,13749.23832,21157.87394,1894.68977,3306.30246,1375.48074,1214.41974,8149.4288,1576.56738,4969.77912,987.95773,11580.03792,1057.94751,19014.18081,6462.46394,7214.18361,3836.63266,1597.48487
1967,2680.98767,15031.26822,10927.3699,1279.03598,9585.37513,12008.85896,933.45493,1701.53643,495.36503,2525.73949,648.15789,581.9398,1057.50912,14968.71186,886.41124,904.88395,1186.08627,5993.19454,904.96236,5766.39424,3524.91754,1448.86661,1040.7956,4727.50109,1830.75975,5035.21823,1107.74119,14656.62589,2214.39117,2373.04439,664.87949,763.20967,593.13727,503.48432,2309.66998,10434.112,12276.61611,4347.86282,1491.86197,10681.79962,2140.5195,6521.57865,2395.29863,1733.36366,1223.8872,2086.20383,14224.80068,1076.16571,745.93802,2515.9114,7254.56203,8937.50576,8744.81272,4558.70435,8539.06391,3364.59231,1508.29999,747.5609,17705.81812,1113.32609,682.02156,2631.10507,370.23685,4697.58284,1739.0413,4088.00212,6357.50311,1815.38786,458.42854,4760.50627,712.98218,12571.70474,13624.02394,1356.10607,1169.04874,13629.26832,1232.96797,3565.04265,1646.66071,3143.50659,1876.75178,5313.87889,1499.02484,2086.68733,768.3911,1767.44192,3760.60844,5997.36288,8125.56165,2286.68761,14139.78809,21702.38254,2112.28998,3579.59635,1390.25163,1266.4224,8807.09453,1553.22525,5062.45205,989.3226,11833.68104,1090.9053,19317.12483,6176.92364,7234.45617,4131.11474,1581.92061
1968,2722.03996,15901.76594,11375.47473,1287.55833,9747.68843,12463.20558,1000.69609,1491.80785,577.1928,2706.63311,664.2969,570.19543,1105.77258,15413.05414,962.22398,1077.1035,1187.99236,6177.11006,848.81855,6015.82136,3637.14346,1415.6607,1094.18404,4866.20177,2011.66476,5182.75235,1060.09148,15395.4325,2156.0796,2411.88933,722.2474,740.61278,660.21697,515.9002,2523.68653,10814.63702,12704.23329,4333.58169,1472.94289,11230.88722,2173.22295,6931.21329,2534.74234,1717.91108,1237.61659,2161.62858,12793.88833,1103.75481,796.13452,2684.58978,7721.00804,9170.0837,9251.24167,4426.5317,9509.65046,3293.72538,1468.20054,732.90841,18742.67447,1185.87119,683.2142,2641.1335,411.31527,5158.87402,1934.74028,3381.77791,6686.47668,1900.68282,478.17104,4791.54724,702.30162,13490.0691,13354.36559,1356.05801,1191.68538,14064.40541,1273.68105,3708.74196,1675.73247,3124.83217,1948.47908,6200.6019,1638.36767,2189.48878,797.78589,1662.96217,4246.16634,6099.01199,8590.24243,2420.93504,14570.75509,22316.77148,2135.80052,3850.57113,1438.7095,1312.24027,9145.05522,1659.16832,5287.88892,997.85713,12212.03222,1138.70705,20098.49248,6218.19884,7733.37456,4219.45148,1434.04773
1969,2908.11242,16707.97657,11860.23342,1308.09585,10925.11204,13305.59148,1012.35809,1513.26954,569.25018,2683.98731,666.23446,532.13228,1158.55237,15940.98761,1014.14855,1059.89193,1272.76424,6484.74438,932.89507,6600.5545,3775.86606,1335.59195,1145.29191,4973.75983,2156.18146,5788.06456,1173.15096,16476.91558,2311.16564,2395.83531,760.2037,734.90912,680.13402,543.15569,2599.68878,11982.30018,13492.3853,4539.94449,1425.41881,12053.95662,2273.35426,7708.97027,2606.11288,1657.23387,1389.87067,2067.98933,13013.74684,1193.69836,763.70508,2731.38259,8076.89205,10310.1211,9772.40788,4539.10083,10534.75745,3055.30881,1505.12648,724.15694,21241.00569,1200.59732,717.35751,2826.51242,412.37763,5691.28009,1819.23834,3411.97769,6703.89866,2054.71612,496.16757,4949.98679,722.22723,13984.02368,14630.72195,1199.45933,1498.16205,14363.22599,1336.00003,3931.73987,1718.60507,3201.06026,2003.56399,6460.40489,1837.39818,2307.2654,855.83439,1435.69382,4844.82955,6365.44537,9295.07337,2459.11546,15195.19545,23142.11013,2527.49434,4115.6615,1537.77593,1385.17493,9410.30989,1681.21805,5418.41917,1053.96164,12391.29461,1159.12686,20535.34775,6581.48846,7832.50799,4753.16213,1746.53771
1970,2910.44361,16855.59211,12528.88045,1366.06849,12023.88357,14108.50499,1083.70596,1541.90055,685.50209,2985.33579,633.37039,674.1638,1182.63325,16068.68835,1122.47547,1085.02131,1300.92724,6366.56089,1080.8744,7019.47024,3984.85349,1409.19294,1218.44228,5262.29971,2278.30994,5842.09758,1052.66009,16665.67989,2633.22602,2505.95018,846.84773,772.87207,542.82242,527.13979,2809.47326,13056.74806,14164.5475,5160.94717,1565.17278,12830.91849,2558.11534,8392.54934,2743.4563,1558.33509,1574.05035,2034.33162,14126.10831,1185.94212,827.48229,2928.1954,8120.9829,11156.88044,11074.57618,5129.84475,11536.27967,2621.43543,1398.78974,711.04335,22678.171,1255.15737,734.03221,2906.89912,433.528,6144.89876,2025.00304,3724.59678,6869.87844,1910.29848,482.24784,5028.54335,743.04053,14637.89843,13927.30753,1235.02985,1641.87733,14857.76719,1421.59247,4436.85988,1805.00366,3330.57972,2078.56062,6851.42275,1964.4306,2434.27973,883.26103,1549.73118,5444.37694,6502.74257,9591.39308,2535.45763,16119.88317,24234.57427,2632.04698,4431.4475,2022.7546,1323.85291,8997.42136,2154.75512,5639.67961,1035.48512,12696.56727,1233.21808,20338.42687,7020.42156,8539.57741,3690.0616,2066.63067
1971,3010.22234,17055.16992,13093.8978,1309.35178,12428.45989,14514.69314,1085.57764,1587.64396,831.90693,3242.08105,613.95483,673.89851,1238.2427,16619.91844,1146.63256,1034.3196,1310.36595,6891.01669,1121.90579,7607.86773,4265.01242,1440.11469,1263.62375,5266.3909,2163.87846,6322.22617,1064.0278,16942.74929,2782.92581,2525.94501,844.65256,757.94613,594.95647,532.01868,2940.45023,13224.99166,14888.93617,5651.98972,1510.53562,13294.69727,2498.77427,8998.19009,2745.35013,1620.11852,1465.1148,1991.55756,17085.05941,1198.75084,860.77508,3295.85837,8493.64383,12157.51965,11256.36165,5206.13747,12116.03192,2492.20487,1443.69242,626.11062,21511.98193,1257.25816,808.24132,3415.1907,434.01724,5623.64221,1980.20473,3761.27062,6961.67966,1965.5519,504.68538,5134.50582,709.98043,15234.91218,14277.51557,1244.31828,1859.41186,15579.51179,1410.04071,4813.28234,1861.76875,3319.59426,2124.55486,7341.41703,2221.83792,2722.87651,860.15326,1493.19421,6086.55052,6428.82579,9961.16302,2502.8014,16082.1429,25233.19034,2816.45169,4942.76081,2036.87082,1341.19229,8623.89134,2295.49269,5645.47,970.10385,12852.65141,1253.49681,20852.47081,7032.23628,8634.12683,2943.14847,2177.64142
1972,3008.54974,17532.37471,13850.46062,1217.7422,12225.63933,15389.31829,1133.95924,1573.33556,1004.51538,3540.00886,705.3601,602.32466,1323.24333,17341.21337,1134.61556,990.94963,1193.76611,6674.41781,1090.61904,8361.83058,4597.50877,1444.45727,1276.18009,5496.46651,2153.69643,6621.42847,984.60472,17591.02913,2982.92771,2590.65146,881.42878,783.44911,642.58295,542.7706,3108.21999,14002.05839,15582.53774,5367.66886,1475.85821,13924.57301,2200.0301,9838.73097,2826.43109,1636.86895,1461.8328,2060.10132,16758.18492,1201.11828,922.46385,3615.54597,9047.61027,13411.36052,11744.27288,5614.63102,13036.8153,2541.89392,1502.48015,733.51241,22635.59972,1214.5156,855.16701,3541.55496,376.8312,5103.48648,1918.05766,3974.09799,7282.56179,1962.51746,514.15835,5064.37821,713.62085,15732.22106,15095.19419,1179.92541,1972.11997,16013.95916,1409.06636,4961.79565,1944.49264,3280.08397,2150.15445,7861.97378,2517.26882,2992.53558,862.12412,1497.83492,6781.69824,6516.29523,10659.07845,2530.36173,16353.39174,25988.67016,3351.33933,5591.10122,2082.72328,1320.45051,9318.97866,2651.70844,5974.24146,1000.86302,13256.00628,1302.52778,21793.90796,6840.94714,8641.63791,3038.40437,2356.65898
1973,3100.13626,18651.85674,14549.49486,1004.03926,12617.2123,16470.02844,1171.05177,1623.9638,1187.07289,3942.30248,655.62316,649.25346,1331.88872,18550.48379,1117.47383,1039.03592,1081.55051,6354.85891,1157.2648,9070.08932,4984.5757,1514.79814,1283.04092,5718.38376,2241.80584,6584.89495,1074.47884,18474.25888,3206.24465,2897.76487,869.68362,815.18361,722.64981,543.42008,3421.516,14967.3591,16616.80365,5976.6192,1484.62586,14591.36281,2385.60318,10574.83266,2918.25749,1644.44029,1412.30334,2158.76243,18945.87408,1237.39572,1030.57119,4337.05018,9626.17079,13289.62053,12416.88687,5569.53845,13854.78717,2338.48954,1477.11865,876.60245,25372.60324,1137.10002,794.78039,4226.38752,375.18917,4598.75024,1871.04251,4026.53264,7611.2763,1970.92911,522.42187,5083.29435,685.6517,16713.25315,16328.2721,987.73893,1876.69098,16844.22479,1440.12987,5021.58413,2040.40332,3447.42936,2327.27189,8566.19054,3024.08336,3252.98366,865.79718,1363.13193,7353.55835,7253.32136,11291.71091,2643.79404,16867.93717,26433.76447,2938.07369,6087.83795,2252.87766,1252.07233,10127.9719,2614.61093,6166.64548,972.62114,13787.72515,1350.35669,22825.22141,7067.89267,8907.40768,3007.03442,2375.76354
1974,3189.52305,18061.3981,14990.05806,998.65115,11923.61965,17184.70741,1184.75949,1854.5665,1287.07826,4117.70808,686.4151,639.74819,1350.01272,19609.13831,1135.92828,949.34883,1210.97804,6144.36431,1174.08137,8754.56516,5261.68031,1541.08715,1572.47713,5498.15273,2389.43177,6044.65452,1081.0896,17868.86385,3472.04935,3552.30145,945.93082,791.1302,776.01766,541.55795,3708.11788,15592.53391,17124.01802,7895.54976,1555.74325,14805.77087,2540.18357,9875.30592,2928.2973,1732.77742,1401.70125,2003.48902,20305.32369,1191.08231,1205.6848,6727.99682,8980.8816,13766.93184,13033.17871,5364.3433,13507.48592,2305.10812,1550.15453,856.2143,27958.78653,1088.28076,824.38555,4648.09758,353.31529,4631.82335,1960.07682,4289.58664,7938.64654,2138.9261,544.62645,5375.0087,716.84552,17437.91307,15992.91777,1088.72591,2134.19078,17491.7742,1441.8772,4920.44131,2120.00513,3607.07591,2342.68532,8449.9898,3380.12633,3629.15206,856.23963,1471.12224,8024.49684,7601.09565,11564.44667,2618.96869,17243.47877,26736.43852,3670.30829,5766.65697,2254.38175,1610.20106,13714.13198,2908.88463,6720.88705,916.05097,13158.70096,1368.55706,22405.46358,6935.58172,9734.39313,2769.83393,2547.36827
1975,3078.00726,17996.00559,15135.31689,942.43251,13040.80419,16930.3755,1059.02902,1766.72415,1370.09298,4243.77337,678.35266,591.1249,1477.59288,19691.90433,945.89378,916.20439,1337.87727,4868.91495,1231.54664,8957.28602,5476.39292,1610.42235,1498.54577,5720.8434,2251.48005,5071.82508,870.45889,17797.22221,3763.58655,3528.59845,968.40068,804.55185,943.94767,541.41675,4011.85386,15661.16867,17166.43504,7868.71717,1594.63638,15009.81416,2235.69094,10374.18181,2932.76729,1782.97661,1476.42113,1985.46521,19514.45372,1289.80143,1205.72339,6481.74831,9453.16453,13617.31366,12957.29538,5462.02641,13951.35387,2159.49868,1470.91249,923.92488,23171.35818,1052.27623,839.1173,4377.66768,380.90229,5560.17388,2137.97649,4098.13969,8184.80205,2153.98339,541.48693,5388.27319,698.37609,17666.48866,15080.01423,923.23578,1984.54869,17968.59871,1416.65495,4871.0525,2136.39499,3522.78566,2414.04429,7860.02861,3807.10002,3977.92147,837.93359,1495.55152,8240.18583,7379.11773,11665.41643,2489.68327,18153.40219,24942.60493,4107.8913,6130.99512,2281.82531,1298.7784,14100.86298,2994.41045,7125.17589,865.42871,13424.63556,1441.25802,22199.88112,7122.04596,8868.36218,2131.69292,2414.51393
1976,3006.47202,18412.85305,15491.97786,1037.47463,10163.45984,17897.05534,1046.01477,1829.96272,1466.27395,4525.20324,665.00234,692.472,1404.69196,20581.19278,955.00832,914.05348,1318.87158,5111.63456,1204.09488,10169.49552,5747.11302,1549.52942,1518.20325,6188.69457,2550.3602,6476.50307,769.36318,18894.78232,3573.00215,3789.94169,976.41104,910.28207,1021.82061,551.83694,3946.40056,15513.9868,17817.18733,9313.58864,1513.31121,15696.11836,1968.38611,10893.15585,3020.63466,1908.58358,1507.57378,2292.79891,19571.58541,1242.13199,1260.51916,6609.03107,9741.65474,13598.98236,13980.96782,5000.01563,14560.41568,2421.59535,1477.86458,913.04549,24310.75053,1030.06752,826.01204,5088.13388,430.98905,6440.35107,2238.05068,5058.49414,8352.27102,2248.987,554.37559,5270.23582,708.06192,18329.71665,15525.43178,953.50066,2102.82088,18473.32447,1461.61964,4770.51369,2298.71323,3504.08606,2492.42202,8155.36539,4253.21555,4463.78526,949.48907,1545.42467,8636.5752,7089.67876,12030.01233,2280.11047,18151.75172,24800.29001,3504.12192,7036.93134,2442.6518,1282.93943,15564.88324,3030.641,7719.45226,872.71958,13943.96164,1517.84936,23189.77016,7205.69688,9120.3719,2213.482,2335.64515
1977,3082.55017,18291.16466,16096.0506,1059.72981,10313.10389,18185.88522,1068.315,1884.39868,1535.00026,4563.59514,701.86437,788.76955,1541.69599,20757.25296,914.47138,948.09655,1264.68063,5348.37994,1223.56639,10943.51296,5960.93037,1545.23789,1475.83775,6926.29498,2765.95558,7865.00128,798.35216,19180.35371,3648.69351,4114.21239,1011.40919,1048.94509,1139.57519,551.28266,4096.80845,15261.44714,18356.5248,8738.82641,1490.42865,16240.42066,2154.04837,11037.74802,3327.57793,1837.86206,1339.30267,2576.42308,22257.64334,1213.78707,1370.54133,5708.99666,10141.016,13752.74409,14644.84774,4731.54613,15300.1618,2586.44528,1663.85624,1064.1703,23533.52204,1017.32326,804.67657,5420.18576,445.98738,6861.54321,2176.38437,5065.26094,8390.78492,2243.64066,540.01854,5231.80972,710.27546,18565.71184,14963.52972,1020.73333,2260.76286,18874.24639,1461.54439,4594.2796,2561.84739,3459.03151,2539.27885,8467.0065,4564.28097,4716.59653,980.02514,1530.65995,8974.65138,6893.54877,12383.43788,2178.80904,17399.78417,25117.13885,2906.42022,7674.09307,2606.39682,1448.5981,16075.99143,3100.73741,7442.22976,855.18157,14609.06686,1430.63701,23982.72524,7036.67432,9084.98611,1831.12069,2025.97669
1978,2931.72243,19002.95445,16066.66601,1053.94574,10051.98825,18833.63091,1020.94004,1790.69091,1562.5678,4579.24562,754.58302,714.22236,1790.17544,21084.70915,1017.09564,941.85881,1240.98621,5640.03172,1375.12291,11491.35596,6185.8209,1531.49935,1483.14823,6955.68114,2771.3107,8684.71633,747.15515,19772.15585,3509.59232,4146.15674,1039.84946,962.7928,1032.13654,548.94183,4130.96993,15578.3454,19193.95997,9449.35701,1516.0368,16901.59966,2146.24777,11661.6022,3286.73551,1943.06088,1490.5177,2649.90533,22923.10907,1161.83943,1435.61664,4590.82269,11072.22646,13839.68846,15444.59363,4533.23532,16417.69535,3083.44531,1665.74531,1289.50527,25060.31587,948.7488,793.04484,5549.48392,426.49544,7560.46155,1960.80166,5078.19955,8885.23896,2308.74346,526.20395,5169.03905,719.15036,18935.59098,15018.84747,1019.47225,2104.04893,19393.33124,1502.43231,4992.77858,2721.52425,3329.18398,2605.61338,8588.87025,4939.60071,5024.55275,947.12973,1460.07155,9827.56862,7037.72099,12730.14889,2088.00399,17345.13653,26003.90519,2676.64939,8496.71225,2805.36858,1501.41887,16490.86051,3214.83557,7027.54727,773.1084,15605.9064,1435.55781,25062.0593,7389.9902,8604.56903,1491.78379,2167.29721
1979,3155.79683,19460.5581,16701.85433,1089.17495,10574.97497,19469.17871,1041.85628,1850.19867,1727.95686,4736.77808,790.37085,705.61056,1808.7122,21928.88685,1059.11389,895.54469,957.1841,6137.73064,1443.94552,12415.32519,6222.05469,1607.71877,1690.55064,6949.73673,2623.07307,9922.23112,895.49782,20318.51122,3592.82388,4442.39066,1007.61569,947.77005,996.33765,556.45351,4594.43403,16848.79189,19830.41358,10158.86545,1421.23602,17565.72078,2031.98777,11819.9108,3318.98259,1906.3413,1457.65564,2590.42266,23067.45615,1058.11044,1657.27158,4412.5939,11374.60045,14478.0546,16704.19278,3995.06203,17148.11812,3524.16653,1591.26296,1054.82547,26001.13291,945.4061,727.10945,6106.32149,468.67318,8042.00773,2060.60868,5073.21595,9581.48484,2394.35757,526.68037,5148.25023,736.52104,18980.7822,15094.33051,1183.03981,1911.05721,20453.60568,1520.27189,4939.22409,2646.51961,3622.11208,2616.5205,8842.33491,5058.57484,5391.65854,1047.02583,1523.42039,10723.85556,7264.33565,12844.03165,1746.52439,17939.42823,26609.15157,2405.79916,8864.44157,2882.22879,1478.08385,18312.29268,3401.52459,6824.06143,644.31189,16442.90246,1417.97863,25489.96629,7961.52937,9288.34949,1581.23964,2197.59944
