year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,2393.21676,12453.2312,8473.48372,1305.98614,6892.07338,8661.1927,911.60285,1568.80834,388.21911,1839.15779,611.92752,566.94996,1025.4944,11817.77328,873.74908,1071.30565,1085.96801,4338.95736,1032.35699,4702.10576,3264.62393,1017.52563,929.13812,4121.89269,1379.0047,3043.20859,1293.73583,10962.09739,2577.42241,2073.78866,493.9575,548.29871,288.66395,433.16948,2302.2351,7997.39197,8941.88723,3262.3899,1418.70025,8976.77814,2592.07983,3939.89492,1972.84117,1788.44753,951.54647,1846.47378,10364.39874,964.11886,1082.90591,2957.96487,5525.35014,6642.20355,6241.10356,4080.0012,4621.90399,2446.62794,1186.73089,580.10286,14628.12467,962.39273,568.76126,2082.51657,513.21968,690.7151,906.40476,3045.20399,5121.68496,1097.99321,379.54864,3452.64151,675.90094,9621.50687,11666.73869,1211.13816,1415.8257,9386.68095,942.82196,2266.33336,1594.04116,2404.86213,1668.56248,3691.37539,1122.38092,1207.40277,851.1092,1752.76829,1794.27222,5093.02893,5160.79175,2224.87889,10208.11135,18557.31066,1973.6011,2239.46273,973.60793,855.69331,7874.24322,1391.39137,4076.83394,871.24584,9990.54069,773.17338,15105.64786,6174.79537,6648.5386,1697.01196,1748.01277
1961,2421.6592,12498.7067,8917.15698,1278.52,7211.18882,9077.11126,910.17857,1568.41646,417.96149,2039.60282,579.18376,476.27238,1045.98699,12009.07283,1004.59201,1144.6618,1123.46804,4124.88047,665.77068,4713.97838,3350.7802,1100.15558,942.05892,3922.32772,1402.41109,3384.17525,1045.08775,11581.31485,2420.98567,2103.76566,510.50542,568.60285,300.40075,444.66322,2277.08555,8670.744,9265.99459,3389.41962,1303.92573,9220.04446,2493.54323,4448.02376,2019.35084,1815.5668,946.16222,1868.16901,10520.89613,976.15114,1154.33676,2934.76697,5845.41206,7220.9505,6719.26604,4231.27871,5106.42828,2817.92318,1144.36866,593.11847,14500.36749,995.4242,571.1866,2187.64281,507.06045,716.357,789.72382,3323.13472,5088.55382,1383.42569,380.30185,3400.79483,674.99857,9690.47172,12051.69117,1277.28093,1359.85205,9818.00955,963.54796,2464.67944,1658.79012,2505.87426,1701.24383,3905.63584,1177.21057,1326.30156,815.26842,1750.41988,1845.79051,5146.09843,5731.07692,2173.1918,10826.08162,19453.3781,1982.93053,2330.94694,1005.43985,924.12667,8720.42552,1421.60888,4032.16777,842.5384,10163.09181,794.12968,15216.15762,6205.82057,6527.00243,1778.80951,1794.26285
1962,2439.4821,12888.91378,9142.32437,1335.0977,7572.30164,9591.64054,871.13982,1582.29669,450.11557,2135.93111,619.02473,507.98222,1039.73479,12557.56486,825.18169,1122.73711,1229.26399,5054.47433,689.00518,5040.58139,3394.39735,1250.87289,1077.68185,4056.73387,1429.34552,4015.94757,1173.81548,12136.72721,2577.92918,2140.48842,528.82376,623.96556,316.20119,454.47929,2237.34048,8785.53225,9711.48342,3649.65177,1291.7179,9484.01637,2405.01414,4384.77444,2034.85738,1817.67685,940.17457,1904.78461,10736.49569,997.01623,1083.01349,2908.24088,6023.592,7585.14007,7071.04808,4253.25735,5548.88045,2795.65805,1209.61684,674.87792,14166.80513,1037.50957,567.9331,2270.6952,498.96009,1113.36564,868.75136,3539.92291,5115.60696,1563.45146,406.27682,3814.23127,683.05266,10000.53934,12110.75975,1399.16529,1360.96679,9975.09085,1006.05162,2633.06086,1593.23805,2655.82518,1777.57951,4202.71116,1154.88858,1445.67165,898.561,1737.56044,2120.89828,5233.42306,6253.56665,2266.1615,11284.46531,19854.58877,2484.40045,2448.63906,1035.63622,921.22571,8446.94176,1422.76792,4175.87198,862.15884,10227.70418,850.00099,15909.83891,6227.04339,6650.5484,1763.66763,1726.02955
1963,2325.78074,13586.86607,9448.63707,1385.35932,7410.02332,9951.46195,896.85241,1669.6806,465.13447,2214.81378,594.97981,524.44523,1081.41534,13027.12302,662.07072,1037.20738,1145.20212,5134.75806,772.38549,5466.34399,3387.79063,1346.50131,1113.95756,4157.46287,1567.326,4028.44015,1140.53349,12203.21719,2444.11244,2128.11105,561.2005,628.17402,405.98213,457.9035,2497.59581,8833.8202,10171.75269,4491.02877,1301.91869,9618.85303,2517.11912,4918.73903,2102.20273,1988.03076,998.08626,1878.76904,11936.71461,1040.63535,977.55825,3049.16641,6249.36739,8124.05467,7343.36558,4546.02803,5932.04844,2842.42159,1203.21103,732.91371,14210.43958,1010.14675,562.46979,2414.95667,474.97433,-238.80434,912.40977,3533.22694,5412.38922,1784.58837,408.06391,4008.10754,679.03365,10079.48352,12595.09788,1498.53306,1434.29085,10336.20349,1044.26377,2759.15264,1624.44719,2735.63935,1830.30277,4412.89837,1255.28626,1553.10029,783.42773,1703.00557,2577.69593,5561.92231,6782.32363,2149.66669,11818.59293,20354.6115,2170.6437,2614.31059,1074.53055,955.50133,9202.19127,1541.8662,4468.34363,887.36992,10578.46787,892.66733,16377.40758,6018.78798,7038.96049,1844.85251,1708.91118
1964,2401.81735,13934.55646,9821.89243,1344.31762,7327.81852,10532.53458,910.16589,1731.85148,487.43518,2245.13005,608.77654,527.97165,1099.25767,13655.21607,691.58661,1051.86433,1108.84023,5192.94289,870.03271,5800.31816,3550.5195,1444.57335,1155.22613,4223.57517,1734.93958,3404.41134,1009.5065,13150.90141,2437.70382,2223.43323,619.13233,648.18726,390.65512,475.50659,2804.52191,9064.20637,10705.41665,5012.57811,1421.61836,10238.44814,2525.68191,5279.09071,2111.07178,1773.44302,1052.57084,1922.84791,13192.6808,1090.33973,910.73831,3166.22411,6383.24007,8552.37671,7477.15258,4535.03104,6529.87911,3146.39717,1272.97654,767.14624,15249.45505,1008.94433,545.11537,2508.1055,371.55702,820.66089,1373.0379,3948.36276,5944.63087,1848.15198,414.3415,4389.7898,734.46804,11140.5157,12875.84332,1444.27882,1480.92246,10910.86908,1088.16685,2810.92543,1638.61296,2828.41559,1811.58808,4559.93344,1322.96801,1635.63151,681.85812,1701.59946,2570.61089,5792.33653,7050.77435,2234.73641,12585.59228,21152.79877,2590.34641,2830.17786,1127.11943,1026.70414,9746.0755,1553.29044,4502.02403,900.45576,11126.71617,1004.45473,17100.33747,6164.15944,7592.99758,2021.69082,1609.84475
1965,2630.08743,13797.58499,10088.93058,1303.2375,7677.64071,10796.4998,960.95955,1771.91749,461.35719,2320.50364,604.89291,535.30029,1137.03312,14182.9564,707.32223,1037.6607,1140.9014,4900.36704,946.28257,6418.83325,3447.52648,1442.54901,1137.46601,4533.75172,1594.60763,4344.16858,1111.28231,13636.24219,2205.27035,2219.52523,629.05452,669.52616,406.35966,500.3319,2299.26443,9583.45765,11108.26824,5258.60645,1522.96587,10664.15951,2410.62941,5823.95301,2143.98273,1800.99652,1053.99227,2003.2031,14114.36007,1049.61851,1062.90293,3336.75456,6474.50051,8314.3892,7631.14676,4584.75085,6859.36811,3412.88054,1300.98909,777.44901,15449.75748,988.37889,613.78019,2587.92294,397.3701,2405.88785,1593.5492,3619.01367,6051.70066,1787.53371,413.63337,4511.82852,708.30671,11345.8914,13466.18564,1464.25252,1463.07057,11326.60543,1163.73665,2997.3188,1699.74774,2923.79201,1838.79934,4878.72806,1364.96553,1789.56637,704.9737,1682.06363,2663.4251,5949.5568,7374.17175,2165.84939,12879.69646,21444.85788,2446.61579,3068.19223,1220.85905,1128.25244,9193.20611,1576.51338,4496.01234,857.45651,11314.8077,990.89389,17985.3822,6096.97082,7500.98368,2045.00876,1698.86895
1966,2654.24839,14524.84208,10572.70033,1290.33088,8144.54352,11119.49006,958.65993,1886.17664,501.01202,2368.02217,603.87313,531.6446,1169.42741,14906.80442,863.15565,1007.66868,1147.16269,5407.32523,1018.99273,6729.11599,3540.07286,1557.41276,1122.20121,4655.72567,1718.53574,4518.95156,1109.94474,13955.99296,2231.21951,2231.98901,636.28646,692.13636,453.73204,509.54499,2335.76025,9895.35521,11631.88171,4920.9891,1490.82318,10905.44259,2301.51615,6245.955,2227.44514,1750.13975,969.05801,2010.25641,14905.22453,1026.62899,863.91422,3617.23764,6608.23638,8995.37001,8040.14575,4667.10694,7519.12549,3450.39777,1394.15614,797.46354,15703.97053,1020.85116,686.81318,2722.3195,391.01506,2751.50755,1588.62331,3644.58254,6241.98106,1695.75585,414.99083,4708.1421,750.05403,11581.9016,14142.0954,1422.9991,1330.76258,11771.74847,1254.59283,3151.13357,1663.39196,3076.61145,1863.72911,5024.86805,1526.45898,1881.99068,744.04901,1721.93219,3056.27318,6066.74717,7853.70865,2315.76455,13044.66733,21805.64754,2141.32839,3259.56941,1389.57399,1245.46318,9671.17595,1613.77063,5069.04241,883.24687,11549.79888,1047.05303,18952.34106,6288.32136,7425.24209,2243.03228,1624.26296
1967,2704.74097,14932.69745,10859.30874,1221.83819,9042.07767,11567.69665,996.68211,1990.13432,584.45952,2505.40792,653.83566,586.75075,1052.3728,15080.19115,935.9975,988.44048,1192.81971,5629.4834,904.7581,6791.40246,3569.67434,1747.44648,1131.65094,4748.40401,1732.05559,5021.09367,976.85654,14664.96354,2245.07424,2330.44078,652.34752,719.95228,509.68642,508.064,2611.97796,10185.81417,12154.03332,5233.63311,1422.9811,10782.76709,2208.45027,6510.37029,2275.3418,1728.93502,1100.75366,2025.78062,14279.05714,1084.34778,900.37167,3938.37495,7013.94245,8908.13848,8605.52671,4596.78849,8258.18999,3451.72963,1412.18399,855.92909,16334.6667,1057.71756,689.2172,2745.69826,397.82359,3331.17251,1696.26812,3886.30758,6373.7128,1727.13178,448.53183,4627.86886,718.99943,12176.91526,13349.43279,1430.40483,1135.69129,12479.39021,1250.8893,3375.59016,1758.13395,3153.74488,1858.68035,5431.68361,1582.74217,2091.84642,776.9487,1678.14326,3517.00977,6359.4913,8160.29148,2303.68862,13525.45664,22288.23201,2328.13058,3565.21812,1391.51729,1305.00431,10105.73478,1591.56166,5096.52188,881.22699,11806.12281,1085.21111,19227.06138,6065.11134,7465.69757,2653.25558,1598.20588
1968,2749.50677,15734.49924,11293.69895,1237.20551,9393.98005,12056.12151,1056.69881,1722.86886,647.65072,2693.49562,670.50357,574.27299,1084.51793,15658.39845,1013.36659,1091.18813,1189.65598,5677.33026,848.16621,7116.24445,3696.396,1651.20157,1230.43506,4908.53192,1878.79948,5156.3951,952.31702,15450.13166,2140.65056,2372.26641,710.04269,733.69504,535.22824,521.90808,2877.40736,10712.10696,12580.78245,5314.64206,1506.62826,11360.52677,2195.165,6947.82108,2409.96878,1711.71146,1118.28355,2100.22012,13043.08782,1108.23686,914.20529,4270.93499,7540.88554,9217.0429,9123.54722,4564.96562,9205.55125,3199.03909,1379.43494,838.62051,17279.86118,1119.90565,686.41484,2841.10066,422.98563,3715.74268,1908.33085,3107.48306,6718.59228,1812.69633,464.79644,4691.18714,710.49145,12917.98776,13190.3963,1425.89069,1163.27198,12911.03074,1284.6313,3532.48176,1764.81829,3064.5909,1924.73802,6170.99885,1732.45302,2195.14206,813.70959,1666.31128,3966.10599,6391.49242,8632.4904,2434.30462,13959.60445,22855.34987,2363.74097,3842.61248,1450.77401,1316.84472,10783.22846,1695.47956,5338.81406,898.11329,12271.37335,1129.8803,19973.4744,6106.85835,7991.6735,2677.91338,1433.1117
1969,2965.92341,16540.01948,11806.19925,1259.00829,10865.22777,12769.52795,1078.78792,1723.13857,611.95304,2660.95348,678.70584,538.90512,1121.51721,16188.00171,1081.71656,1077.122,1291.68591,5954.22268,931.84087,7822.96673,3830.32589,1583.03348,1285.08037,5022.95912,1954.90521,5872.31269,1050.63554,16431.30864,2251.78077,2353.82862,752.09036,734.27532,555.26043,542.68786,2932.53048,11810.04997,13355.3771,5473.56714,1408.26803,12172.569,2296.50121,7721.59162,2490.47681,1654.34583,1242.72848,2033.36911,13592.42108,1193.76923,920.34185,4420.22225,7850.0277,10360.57554,9622.35337,4697.3554,10218.48067,3139.63723,1425.8539,819.57599,19658.73608,1133.21869,716.95571,2855.8771,423.41631,4034.05057,1829.18068,3080.7234,6737.76418,1967.46601,482.85466,4886.62181,731.63398,13911.71226,14416.28578,1281.77756,1448.88303,13263.00008,1346.64805,3760.05328,1803.78567,3112.8211,1971.76917,6364.32686,1921.86031,2312.37823,868.34542,1469.32474,4577.0998,6653.47255,9336.74297,2540.99236,14525.97129,23864.65404,2684.50667,4042.68709,1559.70725,1431.41321,11445.03265,1724.22886,5458.15919,970.74843,12427.89148,1152.49901,20407.20446,6446.7471,8082.80288,2149.24281,1748.5602
1970,2997.73623,16820.97945,12531.17525,1307.86462,12058.55031,13522.31675,1165.27149,1633.40577,697.07721,2952.14282,653.16029,673.36651,1145.41825,16389.65305,1196.69279,1101.20604,1350.86585,5871.34633,1081.30849,8406.92604,4028.39218,1759.81752,1328.32547,5310.92508,2063.2182,6073.68618,1002.11526,16601.09489,2516.82453,2439.88707,848.35056,727.77496,572.0824,532.85277,3176.7568,12803.53543,14066.50389,6204.24647,1567.03738,12744.64899,2552.73682,8437.02896,2584.69626,1554.85723,1422.50972,2032.54321,14483.2325,1184.84722,953.51193,4955.88645,7921.927,11301.60668,10861.77757,5321.2635,11165.74145,2729.23301,1274.78673,835.10469,19893.70076,1171.92609,722.22631,3001.5767,440.34113,4674.7815,2018.91815,3678.37741,6917.31827,1838.31553,466.7697,5199.65728,755.16526,14608.94721,13911.8701,1337.32885,1575.97366,10072.73604,1440.14179,4352.54511,1888.82511,3194.05125,2039.44103,6882.47488,2032.78799,2436.94799,906.23271,1543.00306,5311.57643,6856.12718,9623.85661,2566.2516,15377.51859,25261.88534,2589.5243,4352.577,2047.49487,1370.09914,11190.27627,2214.51265,5666.62977,1000.69502,12695.96188,1225.44306,20237.93937,6838.06541,8698.34103,2028.88672,2068.3348
