year,Argentina - ARG,Australia - AUS,Austria - AUT,Bangladesh - BGD,Barbados - BRB,Belgium - BEL,Benin - BEN,Bolivia - BOL,Botswana - BWA,Brazil - BRA,Burkina Faso - BFA,Burundi - BDI,Cameroon - CMR,Canada - CAN,Cape Verde - CPV,Central African Republic - CAF,Chad - TCD,Chile - CHL,"China, People's Republic of - CHN",China: Hong Kong SAR - HKG,Colombia - COL,Comoros - COM,Congo - COG,Costa Rica - CRI,Cote d'Ivoire - CIV,Cyprus - CYP,Democratic Republic of the Congo - COD,Denmark - DNK,Dominican Republic - DOM,Ecuador - ECU,Egypt - EGY,El Salvador - SLV,Equatorial Guinea - GNQ,Ethiopia - ETH,Fiji - FJI,Finland - FIN,France - FRA,Gabon - GAB,Gambia - GMB,Germany - DEU,Ghana - GHA,Greece - GRC,Guatemala - GTM,Guinea - GIN,Guinea-Bissau - GNB,Honduras - HND,Iceland - ISL,India - IND,Indonesia - IDN,Iran (Islamic Republic of) - IRN,Ireland - IRL,Israel - ISR,Italy - ITA,Jamaica - JAM,Japan - JPN,Jordan - JOR,Kenya - KEN,Lesotho - LSO,Luxembourg - LUX,Madagascar - MDG,Malawi - MWI,Malaysia - MYS,Mali - MLI,Malta - MLT,Mauritania - MRT,Mauritius - MUS,Mexico - MEX,Morocco - MAR,Mozambique - MOZ,Namibia - NAM,Nepal - NPL,Netherlands - NLD,New Zealand - NZL,Niger - NER,Nigeria - NGA,Norway - NOR,Pakistan - PAK,Panama - PAN,Paraguay - PRY,Peru - PER,Philippines - PHL,Portugal - PRT,Republic of Korea - KOR,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,South Africa - ZAF,Spain - ESP,Sri Lanka - LKA,Sweden - SWE,Switzerland - CHE,Syrian Arab Republic - SYR,Taiwan - TWN,Thailand - THA,Togo - TGO,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Uganda - UGA,United Kingdom - GBR,United Republic of Tanzania: Mainland - TZA,United States - USA,Uruguay - URY,Venezuela - VEN,Zambia - ZMB,Zimbabwe - ZWE
1960,1927.5593,8738.54538,6964.82333,1376.23111,9152.33416,6734.58815,816.29468,1135.18729,434.13165,1500.74723,577.5436,553.22324,1092.83709,9307.89433,723.99881,867.1992,1160.98716,4514.99649,808.39793,2859.39208,2661.11435,962.01621,961.97485,4339.0481,1251.12982,2023.77068,793.28281,8316.11452,1546.32822,1716.33313,483.47214,582.95398,324.73478,399.58726,1795.52882,4947.70829,6478.89342,1766.76349,1464.0182,5673.52428,1827.31826,3252.56541,2012.86272,1407.34537,735.5633,1684.42547,6064.84227,880.81825,679.3049,1869.9132,5341.16886,5281.43034,4470.23527,3347.8429,3559.08816,3121.68175,1194.21162,682.66857,9603.15506,1040.2214,589.24236,1737.48719,447.13662,2949.81101,770.68888,3199.47108,4340.18646,1073.16211,400.99684,3065.06246,684.01959,6505.46087,9534.24693,1002.64172,1259.81001,7053.21102,886.9155,2421.01639,1190.95362,2105.74005,1383.22141,3165.10388,1082.80794,1102.69298,815.81963,1789.74039,2077.60432,3627.99169,4159.8835,2208.00274,8175.75576,11427.12621,1427.54079,1993.18092,802.89905,775.55253,5717.88454,1274.73858,3014.10838,757.92162,8055.16651,682.24534,12113.99272,6074.84714,4442.92425,2254.31786,1381.32939
1961,2012.03205,8833.7075,7319.85858,1347.10942,8987.11572,6882.51917,830.3748,1213.73455,461.74901,1697.53266,554.87506,467.64576,1103.9949,9469.40993,735.05443,898.53054,1219.29669,4655.8737,588.12534,3014.4136,2769.7418,1041.86202,935.04575,4086.88824,1268.90266,2123.34428,713.42218,8942.96235,1508.01589,1785.4259,510.03589,564.58206,324.37687,411.86155,2029.2915,5322.7694,6848.81418,1864.77841,1380.39045,6035.56517,1934.9643,3466.17941,2049.74758,1483.1124,676.47883,1711.07022,6028.39083,899.16616,703.43714,1827.58256,5586.41887,5869.67873,4799.98106,3462.71146,3894.31997,3345.80492,1187.26807,709.09064,10057.50434,1060.8085,567.57965,1814.88186,441.78107,3055.35554,539.26972,3135.21742,4277.2268,1402.41039,400.64972,3149.95688,691.69355,6830.59794,9665.8843,1079.78895,1179.87109,7493.86366,915.41984,2537.93627,1251.5959,2238.78176,1422.51652,3432.74121,1088.94372,1148.47017,785.04039,1799.71692,2242.41906,3653.66121,4593.47919,2081.06423,8634.52669,12027.90575,1433.75511,2098.13549,824.48714,824.94538,6416.69572,1364.2443,2992.348,754.8556,8159.16953,722.45141,12327.31693,5914.51699,4355.60949,2221.24873,1413.73688
1962,2003.66091,9177.95463,7535.87686,1365.99619,9402.94487,7209.86085,819.79402,1146.79853,487.78336,1753.25354,594.53998,503.39643,1126.42838,9749.77219,708.07081,920.73981,1359.57845,4767.36847,642.28546,3194.29024,2887.10006,1073.65301,1010.92953,4182.76608,1322.65177,2306.24217,869.8302,9447.49564,2003.03002,1846.16607,538.32663,606.83028,331.35804,422.54319,1963.66722,5647.13989,7207.90914,2113.57359,1324.44686,6390.59795,1798.61845,3607.82224,2068.12379,1586.52077,695.90501,1714.72821,6546.31914,911.68288,747.38782,1817.81629,5743.36566,6257.93059,5094.61841,3473.49568,4167.80772,3336.76165,1239.46871,787.71836,10367.04473,1106.5581,591.32927,1859.92639,438.7621,3109.53402,545.4658,3486.70251,4324.10634,1547.55789,427.23562,3468.95275,697.52199,7170.68145,9828.11998,1134.19596,1170.58194,7723.47177,935.33499,2623.49178,1332.81485,2387.69243,1460.8178,3613.42647,1098.89474,1259.77875,894.67143,1768.70986,2284.74074,3743.11986,4957.3521,2205.17832,8961.16247,12502.05995,1604.7431,2210.403,856.02777,813.0379,6271.95779,1310.04156,3142.42742,776.24549,8329.98204,788.66673,12811.42228,6151.92909,4269.57039,2241.60323,1389.60884
1963,1910.44484,9616.57044,7870.52911,1450.38725,9393.40083,7558.08873,848.89856,1224.15383,504.57357,1855.56198,570.27604,537.29086,1141.36002,9942.00255,724.94364,839.41544,1277.99571,4802.47543,694.16867,3375.54484,2928.8083,1206.89606,1020.26049,4354.33834,1418.08299,2445.80341,855.81146,9479.0684,2199.01691,1819.83447,572.78865,617.72033,377.49268,425.62973,2039.16992,5868.53533,7570.76031,2706.53303,1475.60191,6539.12966,1833.89241,3776.95097,2113.41548,1574.31846,867.05817,1752.51179,7076.6368,947.22474,714.63053,1787.04045,5918.69113,6625.11671,5449.02895,3806.28811,4463.09887,3533.36194,1204.51341,858.00271,10669.05335,1097.45147,584.17085,1884.218,442.5149,3156.95245,690.08964,3398.46838,4517.74013,1737.56306,434.53632,3685.91452,710.57604,7588.9942,10168.27322,1103.59463,1210.53741,7958.23811,940.21414,2814.79493,1348.34545,2524.90337,1496.68023,3760.63247,1075.59887,1303.48334,801.13796,1786.68371,2355.96774,3845.83569,5438.03795,2064.99361,9374.06464,12829.37593,1267.23023,2284.24144,886.74246,866.25184,7042.56673,1362.80511,3357.91681,779.70487,8573.79478,810.58728,13076.29907,5819.20201,4470.43386,2275.82678,1367.04844
1964,2008.15802,9914.64283,8060.6449,1417.84776,9203.69581,7690.73065,844.72822,1225.94526,521.26855,1864.51552,587.98715,495.52044,1148.24432,10259.78317,752.76011,836.0883,1261.40301,4687.8916,771.79079,3572.52718,3086.00093,1236.8691,1053.97237,4490.98692,1572.63459,2240.72245,806.05992,9992.26067,2306.25173,1924.48463,620.98851,641.94407,378.39074,444.99375,2068.18211,6096.40587,7870.95549,2868.49432,1434.95861,6766.58974,1724.24521,4128.61618,2151.51589,1501.79187,948.58466,1815.03953,7556.57414,989.61067,695.0793,1707.03623,6106.43686,6869.78147,5592.48041,3944.87114,4790.03369,3546.03405,1272.37139,883.10648,11332.4532,1080.97913,556.53034,1954.10821,359.19073,3237.37037,972.50357,4467.61805,4912.45252,1765.19238,439.7986,3875.82547,747.02755,7851.4686,10341.87374,1148.19152,1248.05022,8218.04448,972.44903,2900.91943,1404.69144,2623.18706,1507.88671,3721.73365,1172.75888,1410.44696,662.27353,1789.35479,2196.41432,4037.26541,5583.86341,2120.8016,9633.82533,13137.29409,1870.68917,2469.13352,912.83871,837.62036,7335.67597,1347.35112,3320.61544,794.53332,8721.94443,850.27197,13534.41627,6067.20495,4585.7001,2438.02373,1299.26145
1965,2238.03166,10092.40345,8379.27782,1369.09186,9358.14677,7992.81812,870.89169,1393.29163,543.06829,1938.97659,547.02885,520.17865,1165.65635,10668.18151,742.69131,813.43278,1260.44631,4672.34028,814.79551,3919.47356,2956.45858,1190.63277,1043.77175,4877.2999,1429.37427,2483.30489,803.81379,10226.91154,1944.34654,1933.29866,639.53412,669.6784,410.72535,471.0039,1854.32369,6419.2881,8135.17148,3273.5977,1613.18712,7163.06247,1718.59785,4415.51816,2180.24088,1482.46517,1023.74508,1809.19151,7993.522,943.16407,672.46233,1788.56345,6162.31037,6533.02008,5751.06488,3777.0758,4994.84489,3804.70618,1308.36548,895.45948,11550.71908,1051.95871,610.4711,2019.74522,377.39584,3383.79182,1210.75815,3763.62945,4925.09275,1683.04702,436.72503,3956.76248,718.94975,8274.61214,10778.79013,1211.05826,1171.12429,8513.11981,1042.41584,3058.69467,1375.759,2744.55952,1531.14347,3879.39589,1204.63435,1540.5099,719.77019,1709.71755,2246.84721,4101.3311,5868.89576,2083.77691,9986.88589,13487.68445,1840.7763,2634.10294,953.65755,866.55752,6969.47809,1409.81187,3338.54884,829.07282,8840.55387,851.47653,14161.37718,5697.52128,4792.08114,2413.78957,1344.16822
1966,2182.06455,10393.08266,8705.89508,1364.91064,9810.74632,8224.93729,902.34858,1434.55658,517.94843,1968.40894,544.3721,508.41134,1182.40466,11072.47923,792.62305,825.38803,1252.15693,5107.28738,858.26483,4354.6561,3124.54597,1243.40454,1015.09763,4873.81252,1522.15755,2690.37455,861.72486,10643.45327,2144.97891,1929.43438,630.5542,701.52391,454.54527,479.38032,1798.44832,6606.89943,8472.89789,2952.01788,1618.51039,7353.72501,1609.34921,4693.63311,2220.15419,1478.64658,940.40227,1813.02607,8846.909,920.50851,675.03955,1895.89269,6236.34685,7056.02535,6098.44202,3597.70376,5399.6368,3988.01921,1362.94647,953.12198,11684.35253,1057.71245,660.42285,2075.194,369.67121,3594.8416,1174.12117,3899.85796,5028.71824,1628.82066,440.23452,3876.38354,740.8669,8437.56103,11222.21788,1155.2872,1048.86382,8772.83083,1113.97441,3045.62395,1410.31046,2864.36153,1550.08875,3963.06626,1249.06192,1606.00641,767.23417,1734.55787,2373.46899,4184.06976,6202.95495,2201.03788,10211.0332,13766.61777,1596.43556,2749.30132,1007.71994,1010.95557,7045.45297,1412.08173,3559.56198,889.91203,9029.74862,878.8547,14904.41945,6029.51969,4945.20772,2885.30473,1286.97696
1967,2225.13742,10815.00842,8986.92943,1291.12657,10565.79113,8521.92147,944.91859,1480.6419,626.36204,2093.22871,609.32119,552.00281,1044.63536,11390.54336,1037.79531,848.69437,1285.10268,5172.39847,800.52698,4331.79557,3045.73507,1451.94672,1000.33905,4962.24305,1563.7197,2987.5233,824.0678,11317.69802,2049.85063,1998.99203,674.68908,715.85484,507.57666,467.72801,1854.79632,6782.2125,8870.90388,3663.08974,1573.87367,7464.45664,1658.50462,4992.84137,2290.36846,1408.81383,1070.39286,1787.77742,8982.57493,983.60563,706.02667,2045.92599,6472.91401,7367.13553,6498.64196,3569.83452,5844.90058,3784.97215,1396.82982,989.85672,11573.66771,1054.49409,661.201,2051.95237,376.35884,3919.60115,1236.90095,4003.62652,5183.75649,1651.86679,469.9039,3824.17835,692.00148,8807.1081,10694.27928,1188.44704,920.76819,9217.67602,1136.79645,3213.67147,1476.6458,2995.98462,1600.53479,4258.04335,1284.44082,1749.98253,780.68737,1716.15993,2538.71614,4280.94794,6490.47555,2189.02829,10507.74244,14020.62124,1814.19972,2966.39021,1059.5278,1086.338,7629.93019,1388.31628,3617.17408,869.02972,9296.01841,934.98935,15374.90214,5879.40107,5011.1872,3350.31032,1262.3152
1968,2289.46663,11165.98541,9300.37181,1270.053,10872.26866,8946.12975,949.19717,1308.02458,701.70238,2253.1172,630.37206,547.70404,1122.33757,11730.90672,1004.80178,876.61393,1288.8629,5291.74527,745.28066,4656.9417,3145.48,1414.71641,1089.94091,5082.13816,1632.74217,3187.32578,801.69143,11779.06307,2039.06183,2086.22572,717.43197,700.16707,533.41279,478.85017,1790.32965,6862.03516,9189.14134,3690.58762,1595.20038,7725.14927,1696.53777,5327.7799,2337.16595,1367.84783,1113.05772,1851.79334,8596.80248,1016.59727,717.49127,2063.69723,7024.72267,8440.63526,6813.63066,3412.7586,6237.60499,3739.22061,1303.32919,968.06522,12148.8288,1124.85803,654.26657,2032.01424,402.48565,4370.21787,1334.61485,3248.18306,5364.45275,1750.20908,491.08478,3753.17677,685.0683,9261.30531,10774.50134,1189.31978,961.67978,9517.38186,1173.79634,3223.81704,1543.43211,2978.23496,1637.70729,5242.6144,1352.61629,1840.71053,795.15445,1656.44423,2779.52173,4473.75992,6758.59699,2312.291,10975.80355,14409.22355,1765.56499,3173.68157,1122.70767,1139.22177,7767.66344,1405.1239,3796.39557,869.32332,9483.89215,1001.40139,16057.20923,5888.81889,5262.9881,3410.82714,1116.2343
1969,2402.04806,11569.80987,9460.98893,1305.02877,12681.15459,9384.48755,921.4078,1320.50497,799.86671,2123.8652,632.81295,505.3899,1151.62794,12069.73832,1027.58142,907.97753,1384.54287,5462.6781,812.13327,4949.35981,3289.15771,1376.6276,1146.02144,5141.0585,1799.70806,3393.53213,841.859,12399.74451,2111.585,2129.22518,759.212,696.22559,552.03145,494.08304,1921.91867,7456.69377,9648.77711,3785.93431,1578.61519,8208.97373,1782.32283,5627.88539,2429.085,1330.94158,1280.57048,1811.27769,8208.99545,1095.03733,682.53283,2197.63849,7322.99398,9138.72915,7128.86567,3495.30554,6688.69946,3637.13283,1325.90585,928.81412,12767.80499,1133.38148,670.17266,2088.73491,401.70752,4990.90496,1329.96425,3051.0473,5513.43909,1867.66959,502.90003,3773.00832,726.58062,9807.44892,11270.3811,1122.51199,1189.49659,10057.29832,1241.00761,3459.59452,1576.10457,2997.5856,1649.63162,5460.35913,1549.79551,1934.76803,862.49314,1426.56164,3020.18524,4624.65908,7138.66873,2417.75457,11360.97903,14914.93319,2100.0719,3310.65184,1155.48526,1179.8436,8659.12481,1447.65031,3892.86143,908.6021,9417.72884,1032.739,16311.4529,6191.89198,5486.1565,3037.64554,1357.76164
1970,2395.74279,11722.89245,9789.7911,1393.99804,14108.12289,9712.19429,939.51989,1316.70558,744.90056,2411.07227,600.435,641.34138,1124.02091,12193.80638,1063.0118,907.14157,1445.66486,5391.7595,883.79779,5280.78035,3423.49897,1419.40816,1223.92246,5484.09794,1954.66401,3552.82399,799.47846,12695.75633,2384.72752,2205.16124,853.96539,708.44183,563.07647,490.58991,2175.71153,7995.57989,9985.3627,3894.30821,1578.27184,8723.15827,1972.1903,6070.99481,2519.46,1338.20153,1205.03586,1851.80104,9311.61657,1075.27501,699.59767,2161.36537,7317.94216,10030.84586,7632.83503,3943.29345,7046.02838,3045.85246,1188.33935,963.24523,13452.9903,1164.30377,598.19173,2142.69696,414.11031,5665.7593,1493.19486,3472.13893,5684.07729,1751.96288,491.56411,3900.17954,742.58354,10322.45753,11302.93606,1069.03805,1203.73721,10140.27716,1286.32832,3770.40514,1581.32417,3076.86744,1652.99453,5533.74528,1667.7026,2020.92494,868.71982,1492.61535,3387.30243,4802.77756,7378.08729,2324.94919,11780.68252,15504.4298,2357.12666,3493.10736,1608.01742,1148.32479,8214.02166,1914.94326,3880.58018,906.81449,9643.93681,1096.20468,16309.24981,6479.63288,5469.43969,2641.01261,1617.61401
1971,2447.14475,11863.05888,10298.92306,1318.14746,13883.88883,10214.29501,922.25738,1339.33907,778.19741,2633.04636,522.74663,643.54379,1161.20576,12628.2682,1081.22551,831.2919,1453.59141,5962.3813,907.5509,5817.33635,3784.03117,1447.69843,1282.06622,5475.53479,1945.48616,3839.67566,847.03383,12833.02323,2487.99875,2214.81074,859.03087,703.93113,579.14922,502.40677,2349.88664,8150.0301,10594.28829,4118.36223,1556.25734,9376.58526,1956.66839,6338.01276,2540.52354,1389.2054,1205.29029,1760.0129,10537.04285,1114.01192,713.12012,2473.95045,7514.40401,10177.88972,8016.71147,4128.09531,7416.52512,2862.46267,1326.31329,919.40637,13951.22273,1201.01394,664.66543,2569.39984,416.4508,5148.67514,1433.66824,3440.18269,5794.55389,1785.72559,513.81103,3961.75298,703.91355,10767.82854,11156.54508,1073.59644,1350.71468,10621.59841,1280.91928,3944.80538,1634.48449,3107.25568,1693.86036,6122.84931,1895.30361,2214.37354,856.84598,1466.80644,3741.27955,4898.49289,7624.73403,2294.97123,11775.49837,16036.99575,2538.63008,3724.71145,1591.09894,1155.74843,7879.45994,1952.40009,4104.97671,900.28681,9952.58731,1121.14173,16537.80725,6479.42308,5447.26533,2718.22631,1722.0192
1972,2427.94875,12114.76285,10794.70437,1215.39258,13783.38489,10832.70536,1006.48931,1341.16055,865.37373,2834.58727,665.52633,607.23117,1152.80981,13167.03615,1065.34478,811.17699,1316.7286,6259.88885,906.04941,6107.96125,3983.82092,1451.64484,1229.86253,5589.72403,1920.24622,4129.6775,804.68839,12873.13798,2496.26401,2233.34708,900.46519,721.4211,667.4432,507.32671,2494.90418,8748.862,11156.564,4466.31238,1495.45079,10054.53911,1773.48631,6649.15522,2626.99721,1402.93233,1326.68704,1804.94269,11258.26783,1116.66621,733.97338,2670.17225,7855.42195,10550.31842,8403.07287,4738.33803,7953.11982,2911.92442,1344.51523,1128.93259,14355.27868,1164.17611,706.02446,2734.25404,375.45791,4674.23469,1397.18987,3559.54084,5985.487,1783.89913,522.75196,3896.72163,698.60331,11121.33766,11638.19979,982.8794,1394.45218,10863.40818,1268.80253,3969.54634,1637.68456,3128.77447,1750.34703,6307.41369,2086.91314,2433.07105,866.54797,1404.12047,4026.69554,4909.22002,8083.08904,2291.86637,12074.38114,16617.67642,3023.20084,4004.18333,1627.46997,1164.68036,8937.47196,2189.46859,4250.23711,869.71871,10550.22799,1194.3641,17100.58506,6289.02339,5595.45377,2690.4216,1778.69522
1973,2476.12508,12510.70493,11227.70602,1030.30104,13924.27192,11655.16521,1019.71068,1420.45618,1022.99319,3083.94023,614.97717,629.34655,1139.81003,13760.19924,1044.60179,808.76905,1244.15506,5830.59918,926.96004,6747.03494,4245.95287,1519.82104,1260.10751,5673.64861,2019.898,4478.00188,814.47946,13573.45696,2625.93534,2326.35573,889.95175,755.68024,796.6135,491.06318,2923.43977,9169.27992,11848.83044,4783.49972,1395.80948,10610.2112,1881.09015,6984.91332,2666.77014,1407.82864,1366.78313,1879.70275,11714.98698,1133.42007,809.21142,2906.2651,8262.62832,12102.05231,8939.77033,4577.91658,8519.96609,2733.60971,1249.60569,1321.3161,14841.12858,1073.0999,698.89909,2933.24781,403.63322,4223.17801,1462.96264,3590.00899,6165.74675,1787.2405,530.73462,3915.69053,673.3577,11670.64486,12196.4022,721.43213,1326.27597,11169.57519,1273.40006,3942.90959,1634.80035,3166.37226,1843.35456,6890.56848,2349.44517,2553.49636,838.36494,1352.80859,4232.04319,5086.7743,8545.13014,2480.04468,12302.95719,16842.52075,2573.97987,4336.25435,1708.12217,1076.0038,8662.54655,2279.02842,4225.09987,840.48131,11088.73245,1236.64166,17547.59017,6524.73772,5383.29554,2288.85445,1765.46357
1974,2610.33506,12980.66247,11620.96145,1002.96295,12202.29992,12111.26145,1001.26382,1453.0324,1042.22687,3311.96302,616.61309,605.79756,1234.53702,14346.27774,1049.13743,868.59382,1333.93588,5072.54544,965.58664,6562.14642,4551.72401,1532.11426,1321.03118,5870.74543,2072.06291,4732.37778,804.43608,13372.81161,2904.77456,2728.7814,947.25629,752.04664,866.84124,488.56299,3031.09274,9371.87229,12405.61385,4173.65444,1708.88015,11021.73805,2042.5504,7025.20385,2699.79317,1477.22252,1432.03946,1834.60683,12734.74934,1127.54048,870.60839,3776.90837,8357.06625,12486.73831,9396.38147,4732.52934,8506.27939,2722.45559,1434.99532,1456.21083,15336.91633,1030.85332,697.24462,3224.82941,453.14289,4480.52197,1429.62601,3317.26237,6306.55217,1945.34158,551.28379,4055.89918,714.23862,12229.59017,12613.24357,940.07612,1436.26592,11484.18295,1333.2219,4185.97826,1723.89641,3292.1655,1963.90034,7540.82696,2696.4634,2803.44369,852.69614,1372.07117,4398.41503,5241.85627,8936.46916,2521.65708,12714.12859,16740.73243,3376.0436,4330.39101,1729.30845,1057.36934,8960.67725,2384.22649,3903.37606,818.76445,11097.83078,1314.68738,17385.09369,6549.10202,5127.07566,2285.09662,1816.16041
1975,2557.43218,13041.26365,11975.72704,943.5241,12972.03522,12389.10944,1006.3848,1499.12516,1123.81025,3256.8419,677.02469,629.33405,1324.42001,14762.87365,864.58159,878.50384,1513.42306,4440.75218,989.84311,6651.82827,4765.20796,1588.55037,1483.56107,5876.13109,2046.66607,4217.94398,713.21494,13647.63225,2933.04672,2999.69106,1023.74756,763.63438,979.19756,518.37223,3068.19844,9703.21115,12845.20397,4631.8641,1817.08719,11744.31187,1697.5949,7521.77606,2720.45161,1509.62366,1341.17456,1855.59997,11914.54646,1204.8281,911.25498,4527.87079,8234.19713,12634.35036,9641.30298,4708.78334,9001.49472,2666.67305,1416.71323,1591.98873,15905.50231,1000.86729,710.914,3229.97902,433.88476,4768.54692,1801.95817,3552.47872,6496.498,1992.54857,545.75161,4043.63214,674.38278,12795.17763,12504.79478,779.56805,1465.71945,12100.50723,1372.65,4014.25757,1825.18954,3379.84742,2057.40385,7434.4273,3051.61276,3106.97055,852.15221,1424.26493,4470.63465,5347.17832,9005.69757,2360.67374,13105.94222,16213.30976,3717.34234,4551.97192,1799.26129,1131.06619,9835.54012,2621.99063,4205.58096,782.6872,11305.74783,1399.27803,17583.03305,6664.32751,5438.87149,2294.84311,1792.27848
1976,2328.16396,13415.87974,12318.77647,1066.99929,10120.82489,13096.8218,951.96396,1568.31059,1254.99223,3468.43735,634.91902,656.78891,1255.33795,15220.18621,873.81529,795.77661,1451.05205,4375.20595,993.34772,6927.88213,4946.40888,1533.42441,1472.59891,5994.69069,2167.10956,4857.11865,669.83883,14543.08039,2991.1224,3180.99394,1070.01427,827.90188,1042.79375,520.48251,3197.59669,9944.5329,13400.37007,5179.53562,1711.03868,12134.1059,1607.30814,7838.5195,2839.23578,1620.05448,1384.52999,2082.19609,12397.77484,1123.3963,957.66736,4103.51183,8513.7772,12205.88222,10245.01576,4543.58484,9281.82907,2890.37027,1312.54844,1780.48393,16340.8563,966.73083,694.36701,3345.63644,435.25894,5301.07612,2008.578,4747.47326,6687.73778,2217.80267,560.46219,4039.50087,673.39227,13346.77694,12047.66549,780.82884,1540.59742,12736.66218,1372.48041,3942.94156,1889.9954,3366.34651,2089.4314,7614.41854,3104.89525,3384.79171,936.3811,1538.64289,4642.28358,5320.18528,9412.64889,1955.86501,13549.20211,16382.32794,3174.78288,4883.71699,1936.24783,1094.67873,11177.60051,2718.88791,4542.02366,758.36925,11615.97744,1334.14782,18208.11258,6339.3598,5919.09305,2016.44739,1802.45973
1977,2348.61464,13580.78104,12910.59864,984.05653,9880.78289,13617.6567,1043.84321,1605.64817,1383.26452,3503.8558,718.17986,722.6242,1341.34824,15545.49813,838.69033,850.06763,1364.67879,4861.35604,970.61656,7807.19693,5035.90674,1534.78279,1496.66655,6593.57809,2266.85597,5558.64282,617.02823,14862.56897,3039.51556,3468.02135,1046.35147,898.32345,1164.6995,533.52799,3304.55091,10010.48316,13738.82,5624.13058,1759.30827,12591.07237,1647.32418,8401.63704,2994.83064,1571.31783,1150.09381,2276.88309,13549.83545,1087.90004,999.9183,3794.66672,8748.7452,11775.51393,10806.11662,4209.69617,9704.75899,2967.1607,1377.98221,1806.3168,16791.95865,961.36417,669.38104,3552.99062,426.80979,5887.30559,2064.3624,4952.72589,6725.56305,2202.88163,545.76236,3824.27639,665.48033,13816.59897,11848.78676,845.2877,1747.22419,13413.27616,1368.70374,4077.99736,2112.29146,3404.4954,2130.68786,7718.17377,3131.79013,3538.75469,952.64253,1524.84867,4886.44051,5200.37147,9520.06784,1818.37576,13562.20794,16908.48059,2808.7215,5209.54507,2064.1905,1218.92121,12096.35826,2878.63807,5207.7914,748.16832,11814.81402,1239.41872,18777.09203,6023.64039,6198.12411,1782.92377,1650.27548
1978,2267.28854,13628.75133,12544.50155,1034.66405,9205.62278,14175.67827,979.71342,1540.27267,1467.499,3526.44343,760.05649,703.43213,1451.96846,15694.22717,928.31258,867.01779,1342.1916,5126.4125,1054.96904,8761.44251,5288.98782,1522.27225,1489.03349,6855.81792,2423.948,5971.31025,584.58941,15267.19674,2969.09689,3487.9473,1060.95319,909.65253,1034.70386,543.77825,3345.22759,10202.9995,14231.16804,6572.86988,1963.30833,12962.54229,1808.41469,8818.8598,3052.66513,1653.29182,1297.86006,2237.95992,14514.98792,1047.78369,1059.68565,3392.69442,9289.34799,12485.30339,11308.7285,3778.14693,10198.34816,3558.5498,1534.21588,1958.74836,17206.45837,933.01802,695.41658,3724.30186,449.80305,6081.48923,2157.51403,5002.82889,7136.77296,2256.79402,529.8851,3964.54116,682.19142,14261.54224,12076.81251,811.67376,1658.7209,13345.74017,1422.78074,4331.805,2202.95038,3002.89615,2171.83605,7515.7206,3209.09825,3860.8672,968.1659,1531.68889,5186.26953,5119.14746,9526.63262,1687.63,13563.41642,17201.64134,2587.83261,5596.27371,2176.75118,1251.10458,13247.83897,2936.93064,5125.98774,691.62193,12569.20637,1426.53083,19217.8087,6027.11289,6278.86968,1454.34488,1901.54084
1979,2545.21833,13763.59658,12966.48307,1055.74203,9927.46173,15010.93463,988.03606,1577.51906,1526.98221,3731.64465,728.44844,709.52215,1508.25635,15839.49497,976.46447,861.1755,1030.06013,5418.78547,1126.79371,9314.19192,5432.25811,1593.76095,1544.82687,6895.28156,2389.09452,6263.97356,546.99481,15706.78257,2981.24906,3588.39146,1051.51314,841.88922,994.00098,548.62588,3577.096,10703.48651,14662.23809,5862.51165,1953.48739,13385.06407,1711.02841,9204.36653,3115.64172,1620.0628,1336.88308,2165.19594,14889.32472,951.20802,1173.42544,3021.65157,9856.33891,12570.82062,12246.69819,3387.36776,10848.30381,4455.6371,1497.24153,1800.00786,17859.62421,992.37296,699.99638,3908.35852,497.86356,6255.61199,2181.90126,4939.94093,7694.47082,2342.17212,535.74195,4158.44732,703.3478,14494.33956,11963.40206,904.23998,1295.68466,13878.66963,1473.40357,4417.71434,2090.16172,2904.49837,2222.54662,7535.30751,3308.44674,4142.38834,1003.42933,1593.98325,5377.33677,5141.11392,9631.63898,1613.67767,13947.11983,17468.82813,2379.60413,6036.73029,2341.03495,1227.1988,14725.26838,2964.71742,4948.41134,587.14978,13329.22012,1363.83009,19470.00528,6194.62902,6336.80067,1434.1215,1993.77066
