year,Argentina - ARG,Australia - AUS,Austria - AUT,Burundi - BDI,Belgium - BEL,Benin - BEN,Burkina Faso - BFA,Bangladesh - BGD,Bolivia (Plurinational State of) - BOL,Brazil - BRA,Barbados - BRB,Botswana - BWA,Central African Republic - CAF,Canada - CAN,Switzerland - CHE,Chile - CHL,China - CHN,Cote d'Ivoire - CIV,Cameroon - CMR,D.R. of the Congo - COD,Congo - COG,Colombia - COL,Comoros - COM,Cabo Verde - CPV,Costa Rica - CRI,Cyprus - CYP,Germany - DEU,Denmark - DNK,Dominican Republic - DOM,Algeria - DZA,Ecuador - ECU,Egypt - EGY,Spain - ESP,Ethiopia - ETH,Finland - FIN,Fiji - FJI,France - FRA,Gabon - GAB,United Kingdom - GBR,Ghana - GHA,Guinea - GIN,Gambia - GMB,Guinea-Bissau - GNB,Equatorial Guinea - GNQ,Greece - GRC,Guatemala - GTM,"China, Hong Kong SAR - HKG",Honduras - HND,Haiti - HTI,Indonesia - IDN,India - IND,Ireland - IRL,Iran (Islamic Republic of) - IRN,Iceland - ISL,Israel - ISR,Italy - ITA,Jamaica - JAM,Jordan - JOR,Japan - JPN,Kenya - KEN,Republic of Korea - KOR,Sri Lanka - LKA,Lesotho - LSO,Luxembourg - LUX,Morocco - MAR,Madagascar - MDG,Mexico - MEX,Mali - MLI,Malta - MLT,Mozambique - MOZ,Mauritania - MRT,Mauritius - MUS,Malawi - MWI,Malaysia - MYS,Namibia - NAM,Niger - NER,Nigeria - NGA,Nicaragua - NIC,Netherlands - NLD,Norway - NOR,Nepal - NPL,New Zealand - NZL,Pakistan - PAK,Panama - PAN,Peru - PER,Philippines - PHL,Portugal - PRT,Paraguay - PRY,Romania - ROU,Rwanda - RWA,Senegal - SEN,Singapore - SGP,El Salvador - SLV,Sweden - SWE,Seychelles - SYC,Syrian Arab Republic - SYR,Chad - TCD,Togo - TGO,Thailand - THA,Trinidad and Tobago - TTO,Tunisia - TUN,Turkey - TUR,Taiwan - TWN,U.R. of Tanzania: Mainland - TZA,Uganda - UGA,Uruguay - URY,United States - USA,Venezuela (Bolivarian Republic of) - VEN,South Africa - ZAF,Zambia - ZMB,Zimbabwe - ZWE
1960,2870.48382,14328.89758,9195.64704,616.02352,9527.84973,1450.20039,699.44287,1447.5817,1635.00368,2046.02574,7317.06756,408.54025,1266.04369,13418.32422,21663.03183,4815.78685,1014.77947,1567.4446,1336.84226,2561.12994,965.20664,3442.38485,1680.18616,1129.63123,4426.97919,3837.00419,10121.00962,11969.90365,2860.49389,9648.78882,3872.67371,592.4996,5770.99332,482.73715,8921.71161,2581.40527,9928.06734,3174.02088,11431.34756,4400.8796,2890.37583,2411.50144,643.86342,940.92788,4698.06553,2085.94921,5024.51303,2000.00387,1370.90408,1289.57904,1033.72059,6139.27478,3320.4379,11044.61147,7326.41901,6948.08861,4776.43827,2557.02876,5070.74674,1492.57344,1190.87716,2640.19685,833.45927,14606.49418,1208.85887,1302.78782,5848.8306,646.65482,259.19973,438.7008,966.53147,3513.66253,810.43346,2274.16357,3600.44656,1283.88541,3579.50966,4398.75851,11193.70765,10501.82737,682.14633,12775.47265,1135.62717,2485.07041,2604.73297,1782.77317,4063.93193,1760.53747,1303.80778,886.63382,2417.16607,1639.1897,1674.72914,11657.19342,4910.89855,2184.28516,1292.67966,1045.59794,1061.88344,8963.79466,1518.82021,4657.61747,2283.00326,1105.53327,778.01409,6736.45515,17466.93107,6213.55499,5763.56561,1588.73472,1944.50398
1961,2922.29868,14334.36038,9698.57705,522.45909,10046.67218,1459.79737,663.54826,1423.88419,1643.55638,2270.10761,7746.44281,442.07324,1353.19458,13705.17553,22695.0977,4592.86447,894.55669,1604.92577,1361.84076,2131.68121,924.26692,3539.18647,1789.97228,1296.22669,4232.77851,4257.40722,10376.20471,12703.83656,2709.9103,8138.13038,3933.10949,615.3123,6416.23787,496.69086,9676.90734,2554.95669,10283.21905,3341.62263,11661.35475,4106.37933,3054.97583,2216.04995,680.8529,948.2325,5316.48491,2147.79165,5110.06067,2031.95307,1308.77597,1384.08241,1047.72124,6535.99112,3388.06083,11286.06721,7966.1675,7488.04498,4954.8862,2990.67468,5595.18765,1449.25111,1248.92187,2567.60154,844.82596,14672.38686,1527.53094,1368.44415,5833.82789,641.05055,346.03826,446.0879,830.55143,3852.53508,816.7819,2419.61835,3554.81816,1352.37444,3503.84955,4583.03995,11307.18884,11049.00488,679.0595,13234.929,1165.42636,2721.02561,2724.88738,1822.22165,4310.95789,1836.1965,1433.44901,852.27161,2427.86427,1855.42115,1753.16252,12381.84944,4821.66723,2217.90493,1341.71171,1114.69437,1100.60829,10111.04349,1557.32271,4612.86401,2376.53213,1132.86276,776.84786,6798.50005,17614.38402,6150.64117,5858.56823,1612.93742,1997.18226
1962,2939.01893,14843.40072,10027.4924,563.06415,10855.74346,1400.05172,712.30267,1496.12051,1653.07693,2380.35222,8286.24003,486.59781,1330.79274,14418.10136,23381.95426,5661.56852,971.83611,1658.71145,1348.92236,2551.83667,1248.20133,3595.36444,2164.28081,1073.25992,4410.79881,5085.46702,10724.69993,13494.92794,2932.35883,4196.63118,3957.20755,639.94381,7014.05844,509.76723,9865.54934,2529.47555,10822.92948,3499.41055,11775.25279,4027.54479,3122.64928,2185.89878,686.85201,972.16348,5226.66041,2185.31391,5696.91167,2093.43118,1371.3892,1277.40153,1070.37505,6888.09492,3296.68443,11776.24787,8526.21032,7927.91485,5033.12252,2977.03538,6110.96952,1544.60985,1231.90775,2696.55642,985.56417,15404.60449,1740.79308,1435.61722,5862.91833,636.66098,786.12227,491.87893,935.25839,4122.21075,812.62836,2534.38213,4129.81891,1482.73573,3504.13269,5048.43599,11797.3198,11314.10156,689.19788,13427.85011,1221.69605,2964.01241,2898.73682,1914.51933,4683.16997,1772.95619,1561.09868,940.12512,2436.65952,2264.58857,1968.47336,13085.60017,5061.80893,2733.54894,1524.69801,1130.73672,1140.93976,9518.99623,1577.2458,4786.86328,2515.80619,1216.79091,774.29739,6856.69782,18407.60474,6205.15093,5993.75675,1601.27074,1918.2956
1963,2789.6535,15646.62536,10359.16189,575.82509,11258.23769,1441.84013,683.33861,1547.49225,1735.74374,2464.41401,8152.00125,502.5625,1230.2791,14940.28459,23984.91737,5721.91523,1049.7626,1816.8869,1413.66653,2390.69251,1366.31844,3583.80169,2298.71925,865.89459,4511.80682,5122.52855,10885.06108,13630.61327,2771.31956,4799.72564,3929.38503,675.7913,7599.75525,511.37512,9912.731,2814.94687,11342.27429,4245.82296,12163.88243,4295.24548,3165.62052,2267.5958,737.64583,1096.24616,5894.31666,2258.44803,6241.88675,2069.28214,1330.00923,1147.60314,1115.2947,7158.69124,3448.85249,13059.00652,9147.94811,8232.06775,5328.79094,3046.981,6546.74912,1532.3486,1334.64056,2535.2265,1077.8091,15497.8827,1984.46398,1398.23951,6193.96358,611.20423,101.78565,488.14494,998.07262,4140.50494,802.84491,2663.72507,4319.11987,1586.73965,3629.00655,5343.1186,11870.06937,11737.75594,680.94334,13961.36824,1267.95799,3105.26751,2975.81908,1969.68937,4914.87151,1804.88065,1675.28113,817.10921,2386.73112,2713.38662,1983.53545,13719.64028,5438.29769,2354.33321,1346.01235,1178.12262,1182.5801,10258.32001,1705.11894,5117.58811,2687.9586,1280.87203,765.82152,6624.94751,18931.61832,6518.48546,6348.18028,1648.47314,1896.39788
1964,2874.34272,16106.51513,10774.20091,562.52902,11945.88495,1484.82623,699.88835,1499.70628,1798.72616,2495.25147,8037.46074,527.01376,1260.25112,15670.11616,24956.92971,5772.60901,1152.37701,2019.76933,1439.26616,2122.07393,1428.55413,3753.99885,2549.61214,905.62896,4580.93954,4351.46542,11606.89482,14640.23517,2765.40833,4896.78442,4115.99276,745.36012,7900.53232,530.07125,10187.49579,3154.05382,11953.55042,4692.96129,12811.15564,4480.87338,2881.34059,2420.24738,784.39248,1098.72469,6301.47239,2266.95576,6619.24827,2116.84312,1288.76434,1072.7347,1168.78256,7336.00524,3490.65871,14398.22704,9645.97747,8386.62046,5477.70078,3367.36113,7214.45623,1614.95864,1408.59749,2615.74709,1131.93367,16621.67585,2056.70707,1388.95456,6794.67485,482.64354,702.58939,495.9014,1514.61234,4572.57654,777.32065,2814.86524,4749.99246,1531.95569,3776.39436,5812.67325,13129.42243,12426.9176,737.31999,14276.87607,1324.89984,3163.19266,3073.81027,1947.30116,5082.91524,1818.44324,1763.82436,710.83301,2385.8356,2728.10914,2052.2398,14631.0543,5740.79189,2822.61469,1327.17235,1328.76955,1240.74576,10840.19319,1717.29271,5153.71304,2905.34257,1437.13982,803.29784,6772.88659,19753.93124,7025.44712,6606.06571,1819.70747,1785.7693
1965,3175.25376,15952.13528,11066.77035,571.80342,12263.49914,1576.97492,694.62052,1452.75568,1843.64478,2578.46321,8388.37089,498.09654,1243.07804,16299.78815,25336.81129,5460.2248,1238.21583,1849.44942,1491.92238,2369.30597,1377.70233,3648.81895,2623.17262,927.1496,4913.68865,5578.29142,12104.20815,15201.82327,2503.36747,5051.37178,4121.75376,754.9076,8270.54735,557.3583,10820.86207,2630.82408,12411.03844,4998.97134,13052.94297,4287.76203,2931.37489,2643.54486,832.44634,1185.88665,6970.70329,2302.76933,7317.11924,2207.95386,1272.62022,1237.31737,1125.38387,7455.01481,3709.7893,15446.2665,9414.87668,8564.44674,5522.71933,3648.46685,7599.46104,1651.94473,1447.33713,2535.42226,1136.50678,16826.50425,1987.30631,1357.72437,6926.47065,515.6782,1725.74622,491.8309,1753.82932,4208.08166,880.87704,2914.86269,4822.3547,1555.06063,3861.8173,6331.79401,13453.96489,12947.58538,713.63047,14929.69733,1416.97108,3373.55271,3178.30869,1976.95906,5445.77424,1888.98799,1930.66485,736.42928,2345.54848,2857.61702,2113.75668,15002.01923,5266.18249,2679.9589,1359.10742,1482.27505,1344.28965,10276.50328,1748.03471,5150.078,3150.66308,1413.86902,786.47869,6698.69162,20773.31938,6922.94988,6790.03603,2126.35905,1906.58464
1966,3201.84647,16789.69052,11608.3732,576.5148,12648.09255,1593.88473,693.64165,1438.72308,1960.18827,2633.02669,8900.76631,545.05004,1206.77622,17148.39739,25765.59042,6025.02433,1251.38039,1992.807,1542.53132,2476.49716,1273.0644,3743.91515,2861.10133,1129.80839,5053.34418,5811.37307,12380.7914,15572.99814,2524.75086,4365.38992,4137.84413,766.32538,8816.71474,567.5788,11173.74062,2659.72922,13006.53279,4632.93925,13324.54047,4122.22316,2937.55178,2618.7615,773.10746,1300.39709,7476.59596,2392.55737,7630.70429,2222.60599,1252.08869,1014.37988,1099.68856,7604.87942,3973.89843,16333.20139,10239.07926,9022.50739,5523.51141,3708.83115,8336.08512,1770.26476,1613.20846,2693.19984,1188.83587,17225.54077,1888.86044,1386.32648,7138.48667,508.55329,2027.15747,485.44619,1751.87608,4233.91868,993.22404,3048.61268,5010.54087,1511.93521,3487.77674,6227.8381,13763.98431,13467.47313,756.78221,15711.83207,1526.46497,3561.76471,3343.86215,2004.00579,5613.90542,1848.69472,2031.90606,778.44446,2396.8408,3281.89181,2189.13695,15220.95446,5032.12875,2345.51137,1278.75641,1588.47038,1531.74154,10778.72286,1789.68695,5810.53175,3358.24031,1497.05101,807.18804,6913.28176,21892.01467,6799.22762,6930.20784,2175.90918,1820.68948
1967,3271.3644,17267.24776,11955.82274,635.27024,13171.84621,1634.96738,752.467,1367.56856,2070.96655,2787.98878,9913.23307,635.9558,1172.85591,17378.95322,26380.30803,6290.53443,1269.82083,2010.97745,1388.51255,2219.7518,1292.28019,3782.38025,3106.31403,1225.98593,5165.81177,6437.16612,12237.749,16400.49404,2550.51227,4787.46811,4347.05864,784.18279,9178.28589,568.83449,11500.06913,2995.90323,13605.02507,4950.42418,13633.79366,3728.37011,2806.34217,2523.67369,893.87046,1448.22169,7793.37216,2453.50753,7701.40422,2249.96289,1203.8031,1059.57692,1163.12905,8096.38173,4267.6983,15584.66447,10196.92621,9672.23187,5469.11966,3665.3182,9163.21415,1795.20303,1672.56568,2674.09305,1265.41909,18084.86378,1925.4723,1435.6524,7301.13076,520.76225,2279.81594,539.11703,1877.60328,4524.69356,998.63701,3072.54286,4915.33738,1521.32498,3049.48587,6477.18131,14522.5337,14312.07518,728.66334,14848.16787,1525.67504,3824.70661,3432.76007,1998.44625,6075.4901,1958.61834,2260.85972,812.07084,2337.32696,3801.0069,2281.22247,15812.44123,5276.51899,2552.27642,1218.33654,1624.59489,1535.56176,11282.80739,1769.60453,5850.95005,3679.60549,1546.44615,772.91727,6680.8131,22244.56859,6808.02229,7271.43128,2536.63179,1789.66285
1968,3326.57284,18269.00981,12462.42886,629.95412,13757.81619,1732.40399,773.58742,1388.52462,1795.85383,3004.39698,10318.89281,702.76981,1315.17582,18090.1716,27089.12191,6354.2764,1204.46984,2188.81251,1423.21027,2335.2002,1445.3254,3924.07513,2893.03675,1328.05411,5353.4795,6620.43398,12913.09582,17323.46149,2437.1139,5228.13048,4439.17143,851.77255,9728.34404,585.9766,12110.01918,3308.3993,14118.23346,5011.70599,14190.88128,3648.39413,2771.00271,2643.39265,929.09813,1525.67751,8313.25584,2604.1588,7963.30992,2337.38877,1214.6793,1083.00478,1190.59819,8738.41441,4586.83657,14267.17202,10502.06586,10274.95254,5454.72292,3338.93185,10241.81292,1742.3491,1835.94219,2853.03319,1249.05102,19147.5472,2018.4668,1528.59526,7705.30915,555.73531,2632.46149,552.84724,2112.41019,3636.38437,998.32642,3153.2559,4982.6615,1518.09695,3193.48059,6387.75136,15460.33827,14818.14064,721.94248,14706.96971,1568.41334,4014.63698,3341.64116,2073.05084,6907.00217,1969.01928,2376.3147,851.4465,2316.15098,4266.91655,2320.81124,16348.60674,6102.32356,2594.47215,1192.30566,1631.66835,1603.91683,12043.19931,1887.60469,6139.82201,3971.58822,1614.10906,793.70534,6746.22067,23107.84802,7375.21099,7324.58169,2665.50805,1606.35037
1969,3591.35791,19225.22777,13051.63347,593.63333,14614.5476,1755.05788,783.39195,1413.37582,1800.23652,2976.85554,11906.37364,660.80385,1294.90781,18732.19165,28297.64141,6662.97188,1285.17098,2279.97718,1484.6588,2530.96254,1554.00135,4068.75757,2765.04384,1420.41301,5483.99126,7537.22097,13855.20108,18398.81846,2561.3557,5543.12009,4424.57727,899.61171,10537.16195,610.21386,13372.02014,3360.31549,15020.80499,5193.78796,14401.86474,3837.49883,2684.39162,2491.8083,1012.98995,1576.53172,9265.26499,2689.56822,8700.2881,2261.21879,1232.43242,1087.44522,1281.70281,9152.52859,4756.08935,14907.32733,11838.87497,10847.42067,5614.34411,3307.52152,11392.29052,1798.85606,2044.85237,2976.53006,1223.21509,21834.99008,2196.38463,1544.71245,7739.24365,557.41176,2818.6486,570.52075,2023.92111,3611.43,1042.94961,3170.70539,5202.47244,1365.49479,4090.52293,6495.70617,16613.93594,15249.26198,744.13444,16083.21576,1644.17318,4270.86067,3391.51064,2124.48066,7129.48174,2014.31517,2504.61506,907.8251,2035.44126,4964.27746,2320.07514,17056.64293,5605.63776,2966.89127,1191.35721,1788.26925,1725.64556,12828.80239,1922.44922,6285.89288,4187.09328,1647.13407,839.96886,7123.28769,23601.06926,7490.87372,7631.83452,2459.75397,1953.7831
1970,3633.88946,19596.01619,13852.82639,701.93904,15491.38991,1879.59566,752.6498,1465.28388,1713.48474,3301.76367,13143.49543,754.24433,1325.25012,19004.56587,29950.27356,6570.65704,1404.04548,2406.7481,1514.43405,2541.77951,1712.44573,4283.37282,3117.17949,1575.56325,5796.10199,7819.6959,14544.49843,18557.15509,2860.49457,6207.60005,4631.51475,1018.17667,10870.94027,598.32624,14562.80896,3648.26163,15851.36553,5978.98959,14758.67789,4332.30974,2551.59399,2768.21062,1102.84495,1598.14424,10156.85422,2789.12981,9321.1434,2260.85893,1258.85065,1138.2772,1272.15767,9231.21552,5404.30837,15937.44191,12993.80804,12290.16912,6302.20379,2867.84485,12509.75882,1615.08114,2175.00277,3007.55375,1248.76111,21828.18174,2046.29749,1599.23153,7964.89124,579.03171,3163.19806,533.60512,2229.57739,4289.17437,1056.89075,3363.25448,5503.59998,1422.91286,4317.09604,6414.17812,17503.89275,12541.41808,769.8181,15529.6203,1755.84967,4967.00907,3480.52008,2200.41505,7723.25744,2108.20917,2642.45842,947.36656,2142.61142,5839.59688,2296.10154,18140.04709,7179.36308,2873.69735,1274.97708,1693.5798,2265.63174,12710.89108,2472.49365,6561.19184,4517.14294,1750.25383,991.98766,7556.46904,23377.86272,8249.64231,7872.86949,2148.55539,2314.42689
1971,3668.46043,19985.90859,14527.66187,719.54636,16060.83385,1880.36586,734.12409,1410.50354,1780.79037,3611.26554,13518.79383,943.18487,1253.51377,19701.69165,30955.37856,7290.33551,1462.73783,2447.91286,1495.75926,2469.15268,1857.01761,4614.47295,3208.03163,1649.97877,5910.0869,8531.65273,14986.64795,18992.05633,3002.32985,5793.62641,4807.60044,1018.51488,11249.37472,603.25958,14837.88152,3963.15625,16664.75079,6116.78542,14951.28662,4415.58747,2644.8129,2689.08255,1045.01189,1694.88284,10941.12993,2835.36789,9823.93308,2231.76877,1273.97764,1191.66003,1287.11767,9432.67301,6022.21205,18869.23158,14129.77902,12514.65867,6417.45777,2734.12394,13113.05458,1691.48922,2502.65978,2925.25158,1142.54788,20918.71669,2134.75536,1625.28473,8027.47461,589.87807,3438.16204,559.41979,2175.90639,4493.09963,1169.46573,4017.38268,5607.82189,1412.22877,4756.03988,6451.0962,18305.43572,13671.32769,735.39702,16004.80492,1738.58178,5388.82396,3585.64142,2272.91406,8252.87505,2160.12124,2955.37211,909.67565,2066.01089,6636.38369,2294.99782,18295.76846,12036.2358,3056.41523,1273.10739,1746.02138,2314.45833,11986.13277,2641.82532,6600.97125,5014.96394,1782.34609,954.2107,7561.89824,23930.52995,7883.68,7702.80113,2098.63222,2439.29349
1972,3656.1569,20270.03256,15335.79635,645.06462,17039.3206,1926.34484,850.40537,1315.43783,1777.69194,3945.77073,13697.99401,1158.72022,1181.19379,20456.28416,31703.51697,7149.55048,1440.79464,2446.61442,1528.87531,2324.34871,1816.84908,4938.67611,3233.50271,1689.66863,6143.55085,8878.01666,15678.69368,19743.16542,3532.22059,6418.5946,4725.29607,1062.75751,12017.74729,614.63736,15788.39913,4191.81013,17387.64587,5939.28774,15373.44899,3614.73978,2670.97803,2636.44719,1093.51278,1791.96232,11988.98235,2963.01092,10647.19137,2303.85206,1278.73188,1302.93854,1284.52566,10050.8123,6674.45839,18466.59814,15263.75035,13050.07501,6939.39,2825.15396,14110.505,1800.57267,2780.90557,2950.05575,1376.11061,22400.04677,2137.00165,1535.45757,8398.54866,511.60254,3839.77913,573.67436,2197.69972,4628.42447,1251.12054,4230.42321,5560.46668,1339.34507,4985.50224,6095.9525,18890.93366,15312.9464,745.87018,16606.20811,1727.43565,5586.85077,3576.12215,2339.8266,8820.31095,2240.53114,3247.01407,922.87282,2081.62096,7355.87698,2361.10652,18729.69158,12644.94418,3703.30334,1127.40775,1772.16407,2344.77205,13665.06345,3037.42036,6998.44565,5599.39279,1852.89035,1022.0491,7322.53427,24967.72043,7952.81225,7700.60144,2250.53727,2640.43748
1973,3775.61156,20871.81289,15909.92283,686.59269,18074.39133,2003.15451,792.99722,1091.05839,1899.08147,4352.07421,12952.84025,1357.44911,1290.94563,21585.93923,32249.44824,6780.76841,1503.31185,2459.89359,1544.35837,2488.14283,2070.25543,5329.92273,3368.04937,1712.30766,6364.29629,8621.63933,16426.7149,20235.85315,3771.22254,6850.74912,5113.1447,1038.70093,12683.92806,612.71273,16735.38618,4550.47077,18381.24487,6957.59985,16338.11057,3950.43605,2670.38912,2763.84624,1048.82323,1992.11509,12729.6911,3042.97018,11703.91015,2399.47968,1328.67529,1449.00604,1328.72047,10329.08305,7377.67534,20204.32223,15850.77322,14012.53276,6911.25864,2575.2722,14962.23051,1777.38705,3327.30169,3044.73572,1638.65884,24250.47752,2133.20991,1461.61515,8775.16224,512.00605,4102.04352,572.08362,2108.68731,4781.11188,1179.35582,4681.49079,5566.66542,1140.60544,5432.34173,6723.64419,20023.39607,15700.48649,716.09031,17486.54863,1757.42155,5629.79292,3765.79217,2455.44627,9577.23121,2294.54615,3543.79496,928.94693,1921.60247,7936.74378,2419.7666,19377.5254,12883.65968,3250.2537,1036.00619,1693.23497,2473.06629,13686.0278,2982.74669,7188.54038,6193.822,1916.31204,1028.18678,7424.32351,26149.84765,8733.89655,8429.73137,2166.88389,2661.29597
1974,3903.82921,19939.84491,16129.83808,677.97104,18273.40284,2103.1135,852.8273,1089.89094,2065.93052,4614.006,10709.45324,1370.80207,1147.13473,21899.97728,32359.03608,6326.62731,1532.64915,2516.73162,1537.21309,2585.34693,2519.01198,5681.07799,3336.62233,1744.4241,6336.91404,7811.37328,16559.00775,19337.7861,3568.50751,8649.30627,6081.23284,1057.06631,13046.02068,608.56358,17077.52956,4461.1953,19015.71408,9983.97589,15773.52281,4405.62894,2772.62303,2819.82128,980.27983,2147.94324,11769.78793,3078.62229,11348.5639,2235.80365,1424.29359,1618.687,1291.45377,9958.59918,8299.93935,20761.94588,15749.35011,14791.633,6537.68973,2446.89715,14607.02873,1876.03444,3874.79109,3166.80883,1635.72015,23594.30354,2208.69463,1417.26118,9115.74791,492.02715,4111.02982,552.30738,2179.71667,4575.32145,1219.25905,5140.78636,5658.2245,1220.61844,6005.17493,7591.43658,21530.95555,16444.29404,735.4381,17650.33721,1774.59986,5556.16126,4006.14054,2525.84314,9410.86736,2385.61456,3939.46537,925.79287,1984.26246,8769.05688,2413.04994,19494.47282,12119.41319,3886.74717,1166.37693,1817.45947,2490.31251,14687.26441,3231.67929,8039.23919,6214.686,1905.53854,959.8266,7531.74715,25775.53985,11362.44451,8683.04039,2013.39451,2857.45938
1975,3789.73873,20140.44092,16271.79635,670.09938,18084.46595,1754.29865,829.15994,1027.31604,2125.91064,4724.13075,12636.27851,1489.07512,1111.78281,21902.49403,29662.43233,5276.00862,1571.96916,2500.36388,1549.54281,2061.3483,2270.31621,5889.4057,3504.24627,1470.97532,6386.76883,6497.07537,16646.64795,19030.50072,3645.61277,9069.53087,6494.00504,1147.7986,13037.70287,608.01197,16760.34776,4471.66945,18901.64944,10562.36778,15477.07649,3847.25118,2834.73008,2883.41405,1164.94702,2379.95472,12452.27428,3080.70246,11263.79113,2231.22023,1423.61249,1644.70705,1393.42902,10293.11014,7525.63579,20847.72401,16101.15639,14584.61442,6337.84608,2235.62581,15248.29325,1814.86138,4383.61317,3031.22354,1589.46127,20298.86,2292.53707,1381.59338,9360.51298,528.66616,5140.89401,549.62154,2379.53772,4538.8312,1253.35051,4846.22489,5637.59394,1070.57921,5976.33967,6749.60736,21053.48712,18140.43255,731.78411,17127.42899,1786.21478,5562.51962,4096.70892,2690.83827,8795.10013,2497.08211,4291.23999,898.01725,2020.29398,8913.03156,2483.78043,19970.21287,13213.51507,4481.95691,1326.1784,1749.69448,2562.66854,14429.06955,3382.86048,8521.77616,6400.59909,2007.16701,993.6964,7824.54843,25492.63503,10704.02794,8505.30348,2147.67374,2709.86525
1976,3732.30051,20736.70517,16654.62342,718.09884,19241.95496,1836.62453,812.00819,1134.43784,2162.60869,4990.74038,9994.4349,1613.69918,1079.41567,22846.31536,29242.67757,5407.03063,1506.74773,2681.44156,1431.07407,1805.32509,2323.45853,6126.3357,3374.51867,1479.67281,6729.18714,8222.98659,17519.27602,20020.28405,4058.71485,8833.04603,6748.911,1162.63635,13440.13835,621.9835,17337.07333,4416.16322,19664.12073,12427.55007,16214.33995,3399.08462,3044.52973,2763.03782,1247.19027,2453.10231,13019.81803,3167.76091,12526.46858,2470.06476,1579.33755,1737.40944,1339.89198,10591.70176,7968.9636,20677.24359,15664.18124,15934.80239,5874.04723,2531.93522,15990.55548,1783.1511,4715.94669,2767.39801,1832.6201,21625.79592,2479.5837,1351.92339,9569.75374,577.19167,6267.12809,569.57581,2525.38585,5940.80365,1218.80888,5263.66016,5593.77408,1111.66463,5992.82471,7048.84944,21922.0821,20107.26771,744.73105,17443.35086,1825.23472,5451.77823,4005.66565,2784.83917,9200.36058,2572.61266,4824.84606,1007.75409,2141.23793,9684.60697,2534.92121,19969.91518,15215.69166,3785.85987,1223.21398,1734.23319,2710.71822,15788.17823,3525.10831,9142.75882,7193.00356,2109.03802,1011.7671,7887.22309,26618.08884,10938.62055,8259.14586,2173.19614,2609.98004
1977,3932.4589,20848.30424,17345.73151,797.75734,19435.22544,1854.31792,871.91902,1187.76796,2221.15388,4986.52056,10133.81997,1750.44781,1108.92669,23325.39787,29845.48634,5805.75845,1549.32911,2749.51346,1581.01131,1838.14889,2366.64885,6284.46312,3397.07469,1395.59874,7326.26596,10384.59676,18148.33232,20428.56011,3925.28858,9648.73392,6818.34412,1205.75134,13863.26993,619.61732,17430.07038,4650.56124,20361.60643,11536.87986,16957.00755,3837.58133,2940.28404,2725.78459,995.96315,2689.48698,13030.83951,3350.33092,13559.21378,2686.05016,1598.36181,1851.06164,1310.49813,11466.40973,6853.66416,23014.86634,15253.5316,16658.83066,5487.6707,2494.15613,16849.88654,1926.5843,5042.11857,2636.88698,1987.80541,21617.57811,2503.8321,1340.6354,9677.26395,590.31074,6930.77789,554.23977,2451.60943,6124.40273,1190.39764,5548.04655,5450.96937,1201.75063,6714.674,7941.0018,22053.83737,20581.05051,746.73983,16663.04663,1827.75882,5251.0102,3845.52956,2802.37192,9602.88442,2799.53885,5145.63091,1011.56555,2082.56793,10194.61672,2576.29785,19364.23181,13431.19727,2710.90583,1137.35924,2021.91539,2938.5099,16435.01082,3608.21951,8710.63601,7795.94656,1980.91807,1020.8159,7789.61635,27593.62414,10993.4805,7868.43628,1826.59986,2267.95908
1978,3796.41593,21508.544,17227.38131,802.85088,19991.95016,1751.27496,936.23583,1187.56498,2151.8321,5061.43684,9617.06071,1869.16555,1102.92331,23887.34612,30270.56222,6135.25266,1715.36748,2868.03175,1912.76981,1743.03451,2175.82831,6582.88982,3326.34768,1511.88294,7462.76942,11493.97756,18721.06404,20830.65841,3827.05832,10456.31813,6980.84908,1242.5938,14108.39312,619.67742,18112.04065,4749.51372,21152.50455,11998.42573,18026.67774,3755.22459,3111.94751,2806.23671,1151.62056,2549.73763,13739.69846,3406.61697,14306.92262,2788.52404,1626.09315,1941.20852,1263.83014,12280.05318,5832.00887,23751.67277,15497.99714,17513.88513,5127.00271,3061.84442,17920.43168,2000.61116,5441.34777,2605.20357,2156.51285,22478.56425,2585.9949,1277.589,10290.90042,573.98599,7973.95006,546.14317,2192.48522,6164.43272,1199.97791,5752.88397,5433.28073,1255.16107,6557.58107,6350.37659,22438.71056,22079.4482,756.8624,16381.33213,1887.4749,5516.31629,3622.25132,2898.13819,9704.45222,3012.87143,5484.67104,1013.09995,1975.52724,11332.19305,2684.62666,19643.96843,16390.80695,2468.16673,1148.37021,2247.79709,3151.83188,18030.55701,3729.13871,8160.52844,8663.01534,1966.57117,973.26122,8127.65817,28845.45474,10504.64377,7973.46981,1654.88328,2411.21893
